i,create_ms,first_exec_ms,destroy_ms,total_ms
0,328.164,111.117,55.417,494.698
1,168.799,90.864,55.548,315.213
2,194.360,92.099,54.787,341.247
3,174.212,84.105,48.491,306.808
4,162.482,81.092,52.251,295.826
5,164.726,84.411,50.626,299.764
6,161.403,84.257,52.748,298.409
7,156.000,88.940,51.299,296.240
8,158.270,85.370,48.714,292.355
9,160.664,83.604,54.279,298.547
10,159.374,85.029,59.313,303.717
11,152.763,87.603,48.987,289.355
12,170.236,83.198,49.943,303.379
13,160.796,79.508,51.432,291.738
14,166.265,82.714,46.027,295.007
15,160.895,86.424,67.469,314.789
16,174.077,250.988,56.131,481.196
17,166.360,83.437,55.432,305.229
18,167.129,86.824,56.085,310.039
19,193.614,83.338,47.598,324.551
20,184.026,94.624,55.044,333.696
21,179.077,93.922,52.588,325.588
22,167.987,82.898,52.112,302.999
23,158.631,84.326,50.597,293.554
24,156.293,82.783,55.734,294.811
25,201.971,88.605,50.796,341.373
26,161.538,89.615,54.311,305.465
27,165.012,85.080,50.516,300.609
28,166.128,88.406,51.660,306.195
29,163.268,84.512,50.623,298.405
30,164.362,84.175,50.509,299.047
31,157.839,82.666,51.697,292.202
32,201.040,86.014,51.107,338.163
33,178.424,87.821,51.280,317.525
34,165.289,93.428,53.305,312.024
35,178.579,85.143,59.071,322.794
36,186.891,82.977,49.449,319.318
37,157.079,85.065,50.186,292.330
38,174.785,85.551,52.424,312.761
39,166.394,84.049,53.880,304.323
40,166.892,85.484,52.591,304.968
41,187.468,90.042,50.884,328.395
42,159.538,88.362,52.910,300.811
43,176.193,88.525,55.789,320.509
44,177.396,81.647,49.287,308.331
45,159.945,81.622,45.890,287.458
46,160.740,87.240,49.327,297.308
47,159.657,92.109,52.687,304.453
48,156.570,81.978,53.536,292.085
49,161.286,79.665,50.496,291.448
50,164.141,83.339,51.392,298.873
51,164.300,84.049,49.138,297.488
52,156.752,83.211,51.996,291.960
53,161.393,80.558,48.599,290.551
54,170.242,84.272,51.935,306.449
55,159.338,82.395,51.548,293.282
56,161.776,80.969,59.101,301.848
57,204.549,97.989,52.498,355.037
58,166.980,79.370,45.703,292.054
59,162.985,85.410,51.936,300.331
60,164.077,81.700,55.767,301.545
