task,model,timestamp,llm_ms,input_tokens,output_tokens,stop_reason,create_ms,exec_ms,destroy_ms,total_ms,exit_code,passed
HumanEval/0,claude-opus-5,2026-09-01T21:28:30Z,3410.597,220,224,end_turn,829.313,148.670,43.458,4432.040,0,true
HumanEval/1,claude-opus-5,2026-09-01T21:28:34Z,3971.432,238,292,end_turn,317.648,116.876,45.885,4451.842,0,true
HumanEval/2,claude-opus-5,2026-09-01T21:28:39Z,2528.069,178,132,end_turn,518.988,687.696,113.602,3848.357,0,true
HumanEval/3,claude-opus-5,2026-09-01T21:28:43Z,2896.806,221,205,end_turn,155.248,93.012,38.809,3183.877,0,true
HumanEval/4,claude-opus-5,2026-09-01T21:28:46Z,3629.393,236,238,end_turn,163.252,131.958,338.831,4263.435,0,true
HumanEval/5,claude-opus-5,2026-09-01T21:28:50Z,2816.963,192,201,end_turn,286.051,119.464,44.757,3267.236,0,true
HumanEval/6,claude-opus-5,2026-09-01T21:28:53Z,4225.529,229,277,end_turn,454.143,128.675,48.201,4856.550,0,true
HumanEval/7,claude-opus-5,2026-09-01T21:28:58Z,3193.952,202,158,end_turn,240.208,216.396,39.425,3689.982,0,true
HumanEval/8,claude-opus-5,2026-09-01T21:29:02Z,3442.224,219,197,end_turn,192.192,112.130,42.972,3789.519,0,true
HumanEval/9,claude-opus-5,2026-09-01T21:29:06Z,3125.339,195,203,end_turn,128.474,98.123,34.110,3386.047,0,true
HumanEval/10,claude-opus-5,2026-09-01T21:29:09Z,3752.420,285,255,end_turn,311.523,88.000,43.563,4195.508,0,true
HumanEval/11,claude-opus-5,2026-09-01T21:29:13Z,2887.430,163,133,end_turn,296.012,95.900,47.751,3327.095,0,true
HumanEval/12,claude-opus-5,2026-09-01T21:29:17Z,3506.044,215,210,end_turn,302.602,103.345,32.102,3944.095,0,true
HumanEval/13,claude-opus-5,2026-09-01T21:29:20Z,2165.221,161,155,end_turn,160.489,66.257,40.295,2432.263,0,true
HumanEval/14,claude-opus-5,2026-09-01T21:29:23Z,4662.506,150,115,end_turn,519.962,100.874,39.314,5322.658,0,true
HumanEval/15,claude-opus-5,2026-09-01T21:29:28Z,1643.364,164,126,end_turn,259.865,67.196,53.348,2023.775,0,true
HumanEval/16,claude-opus-5,2026-09-01T21:29:30Z,3951.379,166,118,end_turn,220.783,74.363,71.533,4318.060,0,true
HumanEval/17,claude-opus-5,2026-09-01T21:29:35Z,3567.134,278,281,end_turn,239.115,107.196,47.515,3960.961,0,true
HumanEval/18,claude-opus-5,2026-09-01T21:29:39Z,3510.618,186,198,end_turn,276.408,75.190,36.243,3898.460,0,true
HumanEval/19,claude-opus-5,2026-09-01T21:29:42Z,3780.484,222,314,end_turn,162.644,104.329,38.420,4085.879,0,true
