task,model,timestamp,llm_ms,input_tokens,output_tokens,stop_reason,create_ms,exec_ms,destroy_ms,total_ms,exit_code,passed
HumanEval/0,claude-opus-5,2026-09-01T21:21:22Z,3259.039,220,224,end_turn,1172.740,345.644,362.687,5140.112,0,true
HumanEval/1,claude-opus-5,2026-09-01T21:21:27Z,4264.188,238,292,end_turn,326.784,198.550,70.868,4860.392,0,true
HumanEval/2,claude-opus-5,2026-09-01T21:21:32Z,3740.915,178,132,end_turn,276.981,96.519,39.128,4153.545,0,true
HumanEval/3,claude-opus-5,2026-09-01T21:21:36Z,3362.370,221,199,end_turn,268.918,146.586,47.665,3825.541,0,true
HumanEval/4,claude-opus-5,2026-09-01T21:21:40Z,3697.147,236,238,end_turn,202.395,103.130,54.313,4056.986,0,true
HumanEval/5,claude-opus-5,2026-09-01T21:21:44Z,3708.165,192,199,end_turn,166.678,271.726,53.236,4199.807,0,true
HumanEval/6,claude-opus-5,2026-09-01T21:21:49Z,4243.487,229,277,end_turn,1812.274,433.591,60.876,6550.229,0,true
HumanEval/7,claude-opus-5,2026-09-01T21:21:55Z,3012.051,202,158,end_turn,805.224,743.044,216.755,4777.076,0,true
HumanEval/8,claude-opus-5,2026-09-01T21:22:00Z,3902.220,219,203,end_turn,635.564,250.541,584.246,5372.573,0,true
HumanEval/9,claude-opus-5,2026-09-01T21:22:05Z,3176.397,195,203,end_turn,241.340,125.228,39.134,3582.100,0,true
HumanEval/10,claude-opus-5,2026-09-01T21:22:09Z,3633.156,285,247,end_turn,1131.125,209.414,40.494,5014.189,0,true
HumanEval/11,claude-opus-5,2026-09-01T21:22:14Z,2700.667,163,139,end_turn,152.846,111.318,39.295,3004.127,0,true
HumanEval/12,claude-opus-5,2026-09-01T21:22:17Z,3512.187,215,210,end_turn,343.706,128.295,43.537,4027.726,0,true
HumanEval/13,claude-opus-5,2026-09-01T21:22:21Z,2453.951,161,136,end_turn,154.257,66.925,38.908,2714.043,0,true
HumanEval/14,claude-opus-5,2026-09-01T21:22:24Z,3458.880,150,121,end_turn,936.280,311.891,64.781,4771.832,0,true
HumanEval/15,claude-opus-5,2026-09-01T21:22:28Z,1691.734,164,126,end_turn,372.651,174.810,96.804,2336.000,0,true
HumanEval/16,claude-opus-5,2026-09-01T21:22:31Z,3060.889,166,118,end_turn,330.196,87.821,66.071,3544.979,0,true
HumanEval/17,claude-opus-5,2026-09-01T21:22:34Z,3557.401,278,284,end_turn,573.822,458.692,130.835,4720.752,0,true
HumanEval/18,claude-opus-5,2026-09-01T21:22:39Z,3343.224,186,198,end_turn,267.071,94.926,41.376,3746.599,0,true
HumanEval/19,claude-opus-5,2026-09-01T21:22:43Z,4404.325,222,318,end_turn,267.411,142.785,41.185,4855.707,0,true
