i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,86.796,50.292,69.938,207.027,0
1,83.051,47.428,94.755,225.236,0
2,121.695,71.518,121.213,314.428,0
3,130.793,88.505,87.999,307.299,0
4,117.534,56.223,94.973,268.730,0
5,123.652,58.186,70.934,252.774,0
6,130.466,58.280,81.767,270.514,0
7,97.888,59.407,72.809,230.105,0
8,91.163,56.809,81.976,229.949,0
9,107.536,49.360,70.903,227.800,0
10,97.399,60.031,80.838,238.269,0
11,95.498,54.116,86.911,236.526,0
12,119.390,367.068,113.610,600.069,0
13,120.678,53.661,83.862,258.203,0
14,98.345,56.416,72.087,226.849,0
15,327.790,86.053,133.100,546.944,0
16,500.379,270.222,264.230,1034.833,0
17,232.844,80.273,82.018,395.136,0
18,123.993,53.241,102.508,279.743,0
19,291.926,55.119,73.983,421.029,0
20,92.019,57.506,75.444,224.970,0
21,120.325,64.763,75.683,260.772,0
22,84.402,58.378,76.988,219.769,0
23,90.680,49.840,63.234,203.755,0
24,79.354,49.246,65.914,194.516,0
25,101.007,57.662,69.741,228.411,0
26,342.961,100.732,152.671,596.366,0
27,123.679,55.739,79.802,259.221,0
28,107.443,143.804,123.518,374.766,0
29,167.530,52.550,79.089,299.170,0
30,85.811,49.897,74.614,210.323,0
31,102.659,55.211,72.398,230.269,0
32,133.573,51.281,77.720,262.576,0
33,85.735,50.539,75.171,211.447,0
34,104.006,65.862,77.344,247.212,0
35,93.778,51.050,67.482,212.310,0
36,85.955,49.939,62.544,198.438,0
37,79.108,49.943,60.302,189.354,0
38,78.348,55.319,79.902,213.570,0
39,88.835,48.134,81.794,218.764,0
40,87.635,54.369,119.786,261.791,0
41,96.362,49.463,66.738,212.564,0
42,85.146,56.156,66.816,208.118,0
43,88.771,48.047,67.462,204.281,0
44,95.805,51.094,69.120,216.020,0
45,77.519,95.412,426.243,599.175,0
46,217.596,132.713,243.262,593.571,0
47,136.818,57.589,77.205,271.612,0
48,89.834,53.925,70.787,214.547,0
49,82.884,56.787,76.342,216.015,0
50,144.666,57.170,83.651,285.488,0
51,89.408,56.193,71.372,216.975,0
52,84.475,58.512,80.986,223.974,0
53,101.115,57.734,71.086,229.936,0
54,109.053,52.261,71.831,233.146,0
55,102.948,63.609,79.217,245.775,0
56,79.336,51.206,62.325,192.868,0
57,99.820,54.827,71.624,226.272,0
58,96.405,53.640,74.210,224.255,0
59,99.348,48.659,71.389,219.397,0
60,78.558,50.066,61.297,189.922,0
61,87.339,48.418,62.710,198.468,0
62,101.561,53.054,84.586,239.202,0
63,82.700,49.572,62.046,194.319,0
64,77.749,50.792,63.588,192.130,0
65,75.943,48.061,69.228,193.233,0
66,80.686,50.075,69.493,200.255,0
67,71.140,48.340,63.079,182.560,0
68,73.985,53.012,70.162,197.160,0
69,84.686,52.661,67.748,205.096,0
70,76.216,51.490,76.985,204.692,0
71,98.609,49.423,68.224,216.257,0
72,92.423,45.955,75.977,214.356,0
73,81.667,49.742,86.045,217.455,0
74,76.139,54.200,64.040,194.380,0
75,77.419,46.728,77.094,201.241,0
76,121.370,53.300,83.349,258.020,0
77,82.606,54.834,68.029,205.470,0
78,82.727,48.358,74.589,205.676,0
79,89.400,60.752,85.453,235.606,0
80,81.490,50.372,77.024,208.887,0
81,108.629,60.812,75.567,245.010,0
82,86.672,54.360,75.935,216.968,0
83,146.939,55.674,86.277,288.891,0
84,83.204,48.861,64.830,196.896,0
85,84.941,49.170,66.974,201.085,0
86,79.429,48.536,74.963,202.930,0
87,88.691,70.609,85.137,244.438,0
88,336.904,66.851,82.839,486.594,0
89,95.344,54.705,104.974,255.023,0
90,185.177,56.869,108.319,350.366,0
91,115.510,52.033,71.893,239.436,0
92,90.970,54.027,71.475,216.472,0
93,87.751,52.490,70.856,211.098,0
94,107.037,61.712,70.732,239.482,0
95,95.627,51.342,68.848,215.818,0
96,105.383,51.881,70.452,227.717,0
97,84.831,48.406,79.066,212.304,0
98,96.594,60.434,67.755,224.784,0
99,129.568,51.329,68.740,249.638,0
100,86.975,53.468,75.118,215.561,0
101,90.906,50.015,64.767,205.689,0
102,573.394,58.794,83.334,715.524,0
103,124.435,61.131,77.372,262.939,0
104,104.475,51.390,81.480,237.346,0
105,84.692,50.239,70.150,205.083,0
106,91.770,53.472,81.900,227.143,0
107,95.026,53.867,76.001,224.896,0
108,98.942,56.133,72.521,227.597,0
109,83.402,55.105,78.524,217.032,0
110,100.201,56.473,69.328,226.003,0
111,96.627,56.647,75.188,228.463,0
112,77.415,56.560,83.516,217.492,0
113,91.438,50.811,74.021,216.271,0
114,86.456,51.843,87.726,226.026,0
115,115.201,64.250,86.212,265.664,0
116,102.824,63.439,90.040,256.304,0
117,124.057,70.314,98.293,292.665,0
118,108.584,67.117,99.083,274.785,0
119,113.699,62.879,89.741,266.320,0
120,132.097,73.370,84.249,289.717,0
121,115.919,72.470,89.529,277.918,0
122,105.846,59.310,75.111,240.267,0
123,88.895,49.991,70.883,209.770,0
124,81.518,61.302,74.726,217.547,0
125,79.972,49.961,68.645,198.579,0
126,92.109,57.116,77.295,226.521,0
127,74.193,46.155,64.825,185.174,0
128,75.271,52.427,61.472,189.170,0
129,88.298,56.738,68.062,213.099,0
130,85.058,50.583,80.631,216.273,0
131,88.632,57.806,67.841,214.280,0
132,86.898,50.503,65.029,202.430,0
133,78.235,49.127,67.322,194.684,0
134,91.896,64.488,69.430,225.815,0
135,82.709,51.440,79.689,213.839,0
136,106.410,54.461,70.206,231.077,0
137,85.034,53.281,77.162,215.478,0
138,98.816,50.892,72.403,222.112,0
139,86.347,53.081,69.010,208.438,0
140,110.410,50.321,70.042,230.774,0
141,75.601,53.792,76.938,206.332,0
142,79.335,48.874,67.603,195.812,0
143,101.146,55.190,76.876,233.213,0
144,91.347,48.809,79.051,219.208,0
145,84.805,53.128,70.286,208.220,0
146,78.462,50.215,70.863,199.540,0
147,76.392,50.871,68.780,196.044,0
148,86.395,51.510,75.303,213.209,0
149,84.522,49.083,68.408,202.013,0
150,101.123,56.160,59.374,216.658,0
151,593.108,69.395,89.735,752.238,0
152,114.784,66.288,89.030,270.103,0
153,92.559,88.114,193.595,374.269,0
154,181.905,238.000,96.381,516.287,0
155,101.928,50.090,84.322,236.341,0
156,99.111,56.063,83.534,238.709,0
157,117.151,53.071,71.689,241.912,0
158,84.100,62.337,71.030,217.469,0
159,115.209,63.244,72.287,250.742,0
160,96.316,56.317,78.987,231.621,0
161,95.018,53.756,76.887,225.663,0
162,108.366,52.143,80.806,241.316,0
163,106.136,90.351,77.839,274.327,0
164,98.864,56.825,73.373,229.063,0
165,94.332,52.452,103.214,249.998,0
166,230.849,68.240,94.320,393.409,0
167,120.795,66.342,83.498,270.636,0
168,154.249,60.727,94.098,309.074,0
169,171.651,63.194,85.531,320.376,0
170,131.893,55.378,75.637,262.909,0
171,88.568,56.549,84.677,229.795,0
172,109.517,51.553,67.184,228.255,0
173,95.729,49.440,66.561,211.731,0
174,88.769,52.633,79.463,220.867,0
175,91.517,51.849,60.122,203.490,0
176,88.630,50.867,61.534,201.032,0
177,83.552,51.740,75.898,211.190,0
178,83.401,56.428,61.364,201.193,0
179,152.784,119.599,78.529,350.913,0
180,93.075,52.372,74.879,220.328,0
181,91.705,49.406,64.232,205.344,0
182,84.869,55.205,88.161,228.236,0
183,293.457,273.077,91.002,657.538,0
184,101.716,53.339,78.814,233.870,0
185,161.976,66.194,91.767,319.938,0
186,333.734,64.835,79.131,477.701,0
187,144.507,61.443,86.716,292.667,0
188,169.785,61.189,71.423,302.398,0
189,115.572,57.765,77.521,250.859,0
190,102.342,53.735,79.216,235.295,0
191,201.172,343.724,109.354,654.251,0
192,174.886,88.756,179.032,442.674,0
193,341.972,73.922,89.534,505.429,0
194,134.545,54.144,76.668,265.359,0
195,112.232,72.280,85.441,269.955,0
196,107.884,56.493,88.517,252.895,0
197,124.065,56.309,66.757,247.132,0
198,83.112,63.836,89.419,236.368,0
199,105.348,62.765,79.244,247.358,0
