i,create_ms,first_exec_ms,destroy_ms,total_ms
0,98.287,44.319,29.167,171.774
1,82.313,42.537,26.938,151.790
2,85.965,48.712,28.727,163.405
3,83.361,43.111,24.986,151.459
4,89.496,45.695,27.720,162.912
5,89.754,43.100,29.059,161.914
6,88.788,42.254,28.529,159.572
7,77.161,41.902,27.373,146.437
8,86.988,46.507,26.808,160.304
9,82.895,243.055,56.071,382.022
10,177.093,57.541,38.365,273.000
11,97.857,41.961,27.054,166.873
12,93.555,60.030,34.298,187.884
13,88.875,43.524,26.138,158.538
14,92.633,42.982,26.128,161.744
15,93.566,44.235,28.392,166.194
16,107.042,46.407,31.944,185.393
17,102.904,46.579,26.314,175.798
18,86.285,46.628,26.522,159.436
19,98.687,50.196,53.032,201.916
20,97.464,46.887,29.649,174.001
21,101.811,46.054,29.710,177.576
22,88.352,45.357,24.331,158.040
23,92.571,44.301,31.055,167.928
24,81.207,48.640,27.855,157.702
25,87.957,48.208,30.524,166.690
26,88.208,43.330,29.850,161.389
27,102.130,48.377,34.474,184.982
28,117.115,48.474,28.610,194.200
29,101.936,45.424,31.139,178.500
30,96.835,44.484,30.012,171.331
31,90.943,51.373,30.121,172.438
32,101.861,51.377,36.370,189.608
33,126.249,44.950,32.948,204.148
34,94.298,43.642,27.028,164.969
35,104.545,53.833,26.160,184.539
36,93.787,51.698,37.123,182.609
37,109.316,45.367,29.001,183.686
38,98.776,46.231,33.112,178.120
39,105.045,46.006,26.728,177.780
40,79.680,42.602,24.853,147.137
41,78.497,46.197,29.229,153.923
42,85.388,45.178,26.774,157.341
43,91.199,46.372,29.523,167.095
44,88.983,42.037,24.809,155.829
45,86.612,43.930,23.869,154.412
46,87.669,45.363,25.174,158.207
47,87.336,45.117,25.709,158.164
48,82.039,45.083,25.738,152.861
49,86.164,44.694,27.120,157.978
50,107.426,59.794,46.890,214.111
51,213.787,79.165,57.879,350.832
52,169.628,55.851,41.578,267.059
53,207.388,56.717,42.674,306.780
54,126.877,78.816,49.492,255.186
55,124.676,45.586,37.116,207.380
56,104.671,46.516,38.789,189.977
57,105.920,54.671,46.594,207.185
58,119.932,50.210,34.360,204.502
59,104.520,45.777,27.873,178.172
60,86.913,47.327,29.744,163.985
