i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,108.038,69.818,543.035,720.893,0
1,148.221,54.511,38.702,241.436,0
2,129.006,63.249,46.918,239.174,0
3,86.289,47.627,27.707,161.624,0
4,84.167,45.599,36.360,166.126,0
5,102.459,45.071,38.433,185.965,0
6,96.446,47.930,32.129,176.506,0
7,76.157,43.909,27.286,147.353,0
8,67.284,48.669,27.139,143.093,0
9,77.018,44.462,31.740,153.221,0
10,78.672,48.427,33.588,160.688,0
11,81.842,47.012,34.220,163.075,0
12,77.095,42.305,26.809,146.210,0
13,90.426,44.809,30.057,165.293,0
14,67.414,46.490,30.894,144.799,0
15,78.088,51.390,64.683,194.162,0
16,79.333,48.394,31.168,158.897,0
17,645.177,75.743,60.055,780.976,0
18,114.716,64.119,37.149,215.984,0
19,247.192,48.728,30.449,326.371,0
20,74.742,45.654,33.720,154.117,0
21,74.547,41.545,30.408,146.502,0
22,78.368,47.744,39.067,165.180,0
23,85.580,45.206,35.890,166.677,0
24,72.843,42.146,38.017,153.008,0
25,77.978,42.758,29.333,150.070,0
26,79.248,49.775,32.682,161.705,0
27,79.215,54.912,26.796,160.925,0
28,83.069,57.281,34.026,174.377,0
29,80.862,45.301,26.392,152.556,0
30,72.934,42.220,26.619,141.773,0
31,88.321,41.567,28.212,158.101,0
32,67.579,55.621,55.025,178.226,0
33,107.466,50.530,28.954,186.950,0
34,97.644,47.899,32.797,178.342,0
35,87.064,65.801,55.038,207.904,0
36,82.066,52.306,53.912,188.286,0
37,568.571,59.168,44.390,672.131,0
38,95.562,78.025,36.418,210.005,0
39,102.680,67.631,48.310,218.622,0
40,95.078,48.103,34.377,177.560,0
41,81.943,49.520,33.848,165.312,0
42,74.952,53.968,31.307,160.228,0
43,78.267,45.118,31.676,155.062,0
44,79.136,45.472,29.184,153.793,0
45,80.274,41.341,27.937,149.553,0
46,96.728,48.768,27.502,172.999,0
47,97.968,45.267,29.408,172.644,0
48,73.506,45.951,32.695,152.154,0
49,122.643,49.085,28.392,200.121,0
50,74.815,43.144,34.814,152.774,0
51,106.687,48.112,30.343,185.143,0
52,74.422,43.112,36.783,154.318,0
53,89.180,51.223,38.453,178.856,0
54,112.314,55.117,47.545,214.977,0
55,89.186,45.754,32.764,167.706,0
56,93.208,51.811,33.336,178.355,0
57,91.228,49.463,30.920,171.612,0
58,91.042,54.074,39.631,184.747,0
59,85.813,44.278,29.363,159.456,0
60,72.805,45.596,29.278,147.680,0
61,73.628,44.455,34.574,152.657,0
62,121.827,88.207,52.290,262.324,0
63,123.133,66.672,45.121,234.928,0
64,94.432,49.832,36.874,181.139,0
65,895.110,84.935,975.864,1955.911,0
66,412.466,54.691,37.873,505.031,0
67,216.327,133.469,49.345,399.141,0
68,1181.978,585.027,301.279,2068.284,0
69,2242.936,131.611,117.411,2491.958,0
70,283.225,60.027,61.997,405.250,0
71,169.333,70.173,46.285,285.792,0
72,187.915,78.236,51.048,317.200,0
73,148.641,64.427,45.657,258.726,0
74,1266.719,98.118,65.943,1430.781,0
75,122.320,45.235,38.621,206.177,0
76,91.013,51.655,31.312,173.980,0
77,369.521,46.709,35.625,451.856,0
78,82.697,45.414,32.750,160.862,0
79,89.653,71.636,37.625,198.914,0
80,205.229,288.933,237.087,731.250,0
81,131.743,49.107,39.795,220.646,0
82,129.906,46.191,34.423,210.522,0
83,177.941,79.817,53.021,310.780,0
84,115.650,99.001,58.945,273.596,0
85,476.337,319.219,73.365,868.922,0
86,153.115,172.992,119.690,445.798,0
87,540.225,55.787,37.109,633.122,0
88,99.832,49.631,41.606,191.070,0
89,187.326,90.725,1341.226,1619.279,0
90,572.959,165.530,399.466,1137.955,0
91,411.218,179.938,59.648,650.804,0
92,160.319,65.806,53.537,279.664,0
93,145.535,56.650,39.247,241.432,0
94,100.255,52.705,29.484,182.445,0
95,98.876,55.860,43.011,197.747,0
96,82.672,236.175,494.910,813.757,0
97,270.260,104.285,73.662,448.208,0
98,138.436,54.074,65.428,257.938,0
99,115.790,45.940,49.565,211.296,0
100,117.107,55.381,51.574,224.062,0
101,107.156,48.237,56.656,212.050,0
102,144.518,48.794,64.297,257.610,0
103,117.357,49.561,62.626,229.544,0
104,160.825,71.226,56.182,288.234,0
105,90.257,44.217,54.431,188.906,0
106,109.615,48.332,57.534,215.482,0
107,131.976,56.639,72.405,261.021,0
108,104.939,52.464,70.749,228.153,0
109,118.591,46.855,56.871,222.318,0
110,149.072,339.922,102.590,591.585,0
111,405.880,67.632,37.293,510.806,0
