task,llm_ms,create_ms,exec_ms,destroy_ms,total_ms,passed
sum_list,5192.483,38524.079,3458.790,1830.350,49005.703,true
is_prime,9259.068,40979.106,2607.926,487.754,53333.855,true
reverse_str,1670.207,2341.376,318.474,186.243,4516.302,true
fib,6849.970,7162.942,1145.185,434.544,15592.642,true
gcd,3209.149,5105.240,2105.697,2134.166,12554.253,true
count_vowels,2101.826,37875.392,4917.699,10206.268,55101.187,true
flatten,3989.069,12471.644,6205.077,4148.551,26814.343,true
unique,3712.556,15352.202,2665.085,1921.231,23651.074,true
max_diff,1970.840,6428.639,3053.599,6658.622,18111.702,true
is_palindrome,4321.886,22023.428,5339.614,2043.426,33728.357,true
count_words,1504.059,36777.596,5761.733,10942.171,54985.560,true
factorial,3367.819,18424.689,8160.926,3077.722,33031.157,true
second_max,10439.338,11417.304,2241.022,862.589,24960.255,true
average,2322.710,27083.646,3752.463,2234.104,35392.924,true
rotate,7285.684,15295.699,2880.696,2152.261,27614.341,true
sort_desc,1609.790,11250.334,2562.131,1470.770,16893.027,true
capitalize_words,17403.162,14357.778,2414.889,1289.807,35465.637,true
is_anagram,7286.505,12486.914,2721.934,3011.135,25506.489,true
to_binary,5174.766,23887.694,3527.015,6858.869,39448.346,true
merge_sorted,5767.918,22974.608,7115.797,2283.097,38141.422,true
