i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,129.913,74.923,54.894,259.730,0
1,140.128,74.214,56.222,270.565,0
2,130.669,74.950,58.206,263.827,0
3,137.242,74.886,59.855,271.983,0
4,132.665,75.150,52.842,260.659,0
5,128.873,74.577,55.592,259.044,0
6,140.841,74.104,59.311,274.257,0
7,127.940,74.487,60.757,263.186,0
8,130.749,74.790,61.681,267.221,0
9,141.796,75.401,55.183,272.381,0
10,130.985,75.599,58.815,265.400,0
11,128.871,75.001,56.212,260.085,0
12,140.146,74.042,53.223,267.412,0
13,133.267,75.696,61.172,270.136,0
14,132.398,74.095,56.165,262.658,0
15,127.078,74.414,56.041,257.535,0
16,132.878,75.610,54.553,263.041,0
17,140.356,76.969,62.739,280.066,0
18,140.231,75.043,60.231,275.506,0
19,131.178,74.865,53.017,259.061,0
20,130.314,75.170,53.806,259.291,0
21,131.236,74.556,57.997,263.789,0
22,130.848,77.468,60.815,269.132,0
23,131.919,74.883,56.746,263.550,0
24,127.679,75.716,57.358,260.754,0
25,134.416,74.349,60.185,268.951,0
26,129.880,75.239,59.573,264.693,0
27,132.284,73.526,58.907,264.718,0
28,130.906,75.435,60.699,267.041,0
29,137.052,81.914,58.559,277.526,0
30,137.908,76.241,58.644,272.794,0
31,127.616,74.286,57.578,259.481,0
32,126.593,74.885,56.586,258.065,0
33,139.665,75.384,55.637,270.687,0
34,131.766,74.994,58.462,265.222,0
35,134.661,75.072,52.761,262.495,0
36,137.350,75.287,61.472,274.110,0
37,142.135,75.335,55.921,273.393,0
38,134.981,75.150,57.075,267.207,0
39,130.504,73.243,56.919,260.667,0
40,143.806,74.730,60.562,279.098,0
41,130.649,75.248,60.770,266.667,0
42,132.767,73.508,55.168,261.444,0
43,134.344,75.284,58.001,267.629,0
44,137.843,76.043,60.288,274.174,0
45,130.783,74.994,59.128,264.906,0
46,131.991,75.872,56.210,264.074,0
47,128.161,75.989,60.299,264.450,0
48,131.329,75.318,57.224,263.873,0
49,134.377,75.241,56.977,266.595,0
50,127.435,74.729,57.971,260.136,0
51,133.174,74.789,58.704,266.668,0
52,138.738,74.373,59.954,273.065,0
53,135.494,78.327,60.054,273.876,0
54,130.263,75.264,55.844,261.372,0
55,138.588,75.620,57.926,272.134,0
56,134.498,75.402,59.461,269.361,0
57,138.478,75.073,59.960,273.512,0
58,130.335,75.231,60.903,266.469,0
59,132.234,76.253,58.164,266.653,0
60,130.893,74.639,57.613,263.147,0
61,134.501,74.971,60.429,269.902,0
62,128.243,75.739,60.225,264.208,0
63,142.426,76.079,55.393,273.899,0
64,131.706,74.784,58.948,265.439,0
65,129.720,74.673,58.350,262.744,0
66,130.875,74.661,56.343,261.880,0
67,130.451,75.931,52.156,258.539,0
68,129.548,75.303,61.270,266.122,0
69,129.682,76.229,62.013,267.924,0
70,142.693,74.203,59.034,275.930,0
71,132.335,75.259,60.428,268.023,0
72,137.833,75.425,55.509,268.768,0
73,132.097,75.981,60.326,268.405,0
74,132.744,76.036,60.220,269.001,0
75,134.102,74.954,60.567,269.625,0
76,129.436,74.818,60.599,264.854,0
77,134.133,74.282,60.200,268.616,0
78,142.681,74.196,57.146,274.024,0
79,132.012,73.836,56.149,261.998,0
80,144.616,75.574,59.330,279.522,0
81,138.136,75.574,59.974,273.685,0
82,131.030,75.353,59.625,266.009,0
83,132.122,74.339,58.729,265.192,0
84,130.408,74.490,58.071,262.970,0
85,138.149,74.590,57.004,269.744,0
86,130.375,74.692,54.630,259.698,0
87,132.101,79.516,58.330,269.948,0
88,129.359,74.311,58.592,262.263,0
89,137.343,74.348,59.316,271.009,0
90,126.664,79.301,53.307,259.273,0
91,128.295,76.954,55.014,260.264,0
92,137.721,77.207,58.375,273.304,0
93,132.695,74.302,59.616,266.614,0
94,132.335,78.690,58.289,269.315,0
95,132.175,75.417,61.294,268.886,0
96,130.758,74.702,64.241,269.703,0
97,132.202,74.796,58.316,265.315,0
98,137.075,75.549,60.201,272.826,0
99,133.983,74.749,54.358,263.091,0
100,130.184,77.270,59.532,266.987,0
101,129.611,74.242,55.814,259.667,0
102,131.644,74.307,57.515,263.466,0
103,136.337,75.498,62.476,274.312,0
104,142.880,73.952,54.070,270.904,0
105,126.330,74.831,57.855,259.017,0
106,140.116,74.022,57.941,272.080,0
107,135.872,73.757,60.812,270.442,0
108,134.683,76.434,59.435,270.553,0
109,130.651,73.810,53.778,258.239,0
110,132.392,74.380,58.370,265.143,0
111,128.670,75.263,63.407,267.341,0
112,133.453,74.443,58.522,266.418,0
113,133.394,73.804,60.062,267.262,0
114,137.977,75.424,52.852,266.254,0
115,136.735,75.681,53.573,265.990,0
116,136.404,75.244,60.253,271.902,0
117,127.983,78.167,58.046,264.197,0
118,132.997,73.793,59.026,265.817,0
119,141.145,74.223,56.955,272.325,0
120,129.651,74.159,57.610,261.421,0
121,133.307,76.315,58.215,267.837,0
122,129.978,74.034,58.621,262.634,0
123,138.489,74.482,59.039,272.012,0
124,136.492,75.281,58.624,270.398,0
125,133.847,74.079,54.881,262.808,0
126,141.047,75.263,62.479,278.789,0
127,132.123,74.137,61.131,267.392,0
128,132.155,81.973,57.801,271.929,0
129,131.703,75.439,55.217,262.361,0
130,144.679,75.952,58.430,279.063,0
131,129.540,75.990,58.928,264.459,0
132,131.996,74.892,56.311,263.201,0
133,129.534,73.548,55.827,258.909,0
134,136.023,75.628,57.307,268.959,0
135,126.968,75.052,57.267,259.287,0
136,132.257,75.310,58.417,265.985,0
137,129.988,74.760,61.991,266.740,0
138,136.197,78.056,61.137,275.391,0
139,133.926,73.818,54.985,262.730,0
140,133.181,75.397,58.774,267.353,0
141,129.903,77.941,58.565,266.411,0
142,136.076,75.364,59.430,270.871,0
143,133.095,75.813,54.881,263.790,0
144,127.575,75.254,58.949,261.780,0
145,138.162,74.444,55.051,267.658,0
146,127.499,78.749,62.033,268.282,0
147,132.948,76.666,60.347,269.962,0
148,137.464,75.167,56.345,268.977,0
149,136.446,78.090,58.850,273.387,0
150,134.173,73.716,60.992,268.883,0
151,128.480,76.244,58.050,262.776,0
152,134.633,74.676,56.236,265.545,0
153,124.757,75.052,57.280,257.091,0
154,133.081,72.380,53.832,259.294,0
155,127.777,74.023,53.832,255.633,0
156,132.782,79.672,55.096,267.551,0
157,130.566,75.572,58.959,265.098,0
158,134.830,74.043,60.447,269.321,0
159,134.589,74.609,55.289,264.488,0
160,131.340,73.338,59.794,264.473,0
161,132.323,74.590,54.387,261.301,0
162,135.324,73.965,59.856,269.146,0
163,138.390,75.860,60.845,275.096,0
164,138.368,74.619,55.991,268.980,0
165,130.573,75.903,53.169,259.647,0
166,125.454,76.428,59.588,261.471,0
167,134.823,78.935,57.281,271.040,0
168,141.020,74.644,62.227,277.891,0
169,135.193,74.463,61.288,270.945,0
170,140.615,75.327,65.673,281.616,0
171,135.288,74.369,62.292,271.950,0
172,132.868,74.990,59.973,267.833,0
173,135.426,75.736,60.352,271.515,0
174,132.692,77.936,63.249,273.879,0
175,138.564,74.173,59.003,271.741,0
176,132.366,74.298,58.523,265.187,0
177,139.183,75.096,60.410,274.690,0
178,132.477,76.057,66.000,274.534,0
179,137.757,74.891,54.896,267.545,0
180,130.374,76.032,58.983,265.390,0
181,132.370,75.041,60.919,268.332,0
182,139.640,75.299,62.936,277.876,0
183,131.756,75.273,61.736,268.765,0
184,138.235,74.569,56.203,269.008,0
185,130.019,76.336,59.725,266.081,0
186,143.738,76.168,58.204,278.110,0
187,131.706,76.335,59.949,267.991,0
188,130.212,74.923,57.190,262.326,0
189,130.291,75.371,64.004,269.667,0
190,138.274,76.042,61.183,275.499,0
191,134.280,76.321,60.129,270.731,0
192,132.625,75.654,61.503,269.782,0
193,140.471,74.720,59.366,274.558,0
194,133.463,74.858,59.371,267.693,0
195,131.260,77.856,61.306,270.423,0
196,133.970,75.116,59.408,268.495,0
197,137.788,75.558,59.254,272.601,0
198,130.509,76.134,57.016,263.661,0
199,132.046,76.014,61.554,269.615,0
