task,model,timestamp,llm_ms,input_tokens,output_tokens,stop_reason,create_ms,exec_ms,destroy_ms,total_ms,exit_code,passed
HumanEval/0,claude-opus-5,2026-09-02T02:39:42Z,3086.822,220,224,end_turn,203.595,147.276,69.571,3507.266,0,true
HumanEval/1,claude-opus-5,2026-09-02T02:39:45Z,3619.936,238,292,end_turn,193.554,145.109,62.898,4021.499,0,true
HumanEval/2,claude-opus-5,2026-09-02T02:39:49Z,4023.485,178,126,end_turn,206.390,91.674,71.058,4392.609,0,true
HumanEval/3,claude-opus-5,2026-09-02T02:39:54Z,3010.894,221,205,end_turn,207.319,144.495,61.270,3423.980,0,true
HumanEval/4,claude-opus-5,2026-09-02T02:39:57Z,4050.270,236,238,end_turn,203.253,142.683,63.578,4459.785,0,true
HumanEval/5,claude-opus-5,2026-09-02T02:40:02Z,2669.897,192,198,end_turn,197.306,144.881,61.298,3073.383,0,true
HumanEval/6,claude-opus-5,2026-09-02T02:40:05Z,4286.623,229,280,end_turn,208.202,146.919,66.793,4708.539,0,true
HumanEval/7,claude-opus-5,2026-09-02T02:40:10Z,3032.674,202,158,end_turn,204.218,144.560,66.440,3447.893,0,true
HumanEval/8,claude-opus-5,2026-09-02T02:40:13Z,3475.696,219,197,end_turn,202.455,142.240,63.404,3883.796,0,true
HumanEval/9,claude-opus-5,2026-09-02T02:40:17Z,4471.835,195,192,end_turn,203.744,142.951,67.611,4886.143,0,true
HumanEval/10,claude-opus-5,2026-09-02T02:40:22Z,3566.564,285,247,end_turn,205.889,92.768,66.949,3932.171,0,true
HumanEval/11,claude-opus-5,2026-09-02T02:40:26Z,2821.894,163,133,end_turn,207.802,147.457,65.915,3243.070,0,true
HumanEval/12,claude-opus-5,2026-09-02T02:40:29Z,3493.809,215,210,end_turn,202.158,141.529,69.771,3907.269,0,true
HumanEval/13,claude-opus-5,2026-09-02T02:40:33Z,2009.935,161,156,end_turn,200.404,88.365,61.862,2360.568,0,true
HumanEval/14,claude-opus-5,2026-09-02T02:40:35Z,2987.094,150,121,end_turn,213.654,145.402,65.166,3411.317,0,true
HumanEval/15,claude-opus-5,2026-09-02T02:40:39Z,1844.649,164,126,end_turn,204.221,90.224,64.045,2203.140,0,true
HumanEval/16,claude-opus-5,2026-09-02T02:40:41Z,3124.002,166,118,end_turn,195.890,88.572,63.770,3472.236,0,true
HumanEval/17,claude-opus-5,2026-09-02T02:40:44Z,3536.106,278,283,end_turn,208.564,145.306,65.238,3955.214,0,true
HumanEval/18,claude-opus-5,2026-09-02T02:40:48Z,3404.484,186,198,end_turn,210.948,90.211,69.931,3775.574,0,true
HumanEval/19,claude-opus-5,2026-09-02T02:40:52Z,3800.302,222,316,end_turn,205.613,143.734,73.364,4223.016,0,true
