task,model,timestamp,llm_ms,input_tokens,output_tokens,stop_reason,create_ms,exec_ms,destroy_ms,total_ms,exit_code,passed
HumanEval/0,claude-opus-5,2026-09-02T02:38:31Z,3249.578,220,224,end_turn,214.393,154.724,64.604,3683.301,0,true
HumanEval/1,claude-opus-5,2026-09-02T02:38:35Z,3622.811,238,292,end_turn,211.936,145.063,66.188,4046.000,0,true
HumanEval/2,claude-opus-5,2026-09-02T02:38:39Z,2256.022,178,132,end_turn,203.297,91.809,63.744,2614.873,0,true
HumanEval/3,claude-opus-5,2026-09-02T02:38:41Z,2846.802,221,205,end_turn,199.825,150.430,61.157,3258.215,0,true
HumanEval/4,claude-opus-5,2026-09-02T02:38:44Z,3282.727,236,244,end_turn,202.984,148.326,65.135,3699.174,0,true
HumanEval/5,claude-opus-5,2026-09-02T02:38:48Z,2633.378,192,201,end_turn,208.322,144.588,65.592,3051.881,0,true
HumanEval/6,claude-opus-5,2026-09-02T02:38:51Z,4673.603,229,286,end_turn,204.624,141.713,64.646,5084.588,0,true
HumanEval/7,claude-opus-5,2026-09-02T02:38:56Z,2948.938,202,158,end_turn,208.968,145.098,66.398,3369.404,0,true
HumanEval/8,claude-opus-5,2026-09-02T02:39:00Z,3321.192,219,197,end_turn,204.813,148.367,65.417,3739.790,0,true
HumanEval/9,claude-opus-5,2026-09-02T02:39:03Z,3427.464,195,198,end_turn,201.932,150.934,66.154,3846.486,0,true
HumanEval/10,claude-opus-5,2026-09-02T02:39:07Z,3700.539,285,247,end_turn,204.284,92.178,61.622,4058.626,0,true
HumanEval/11,claude-opus-5,2026-09-02T02:39:11Z,2436.463,163,139,end_turn,213.166,146.183,63.763,2859.577,0,true
HumanEval/12,claude-opus-5,2026-09-02T02:39:14Z,3400.477,215,208,end_turn,210.279,144.847,65.694,3821.298,0,true
HumanEval/13,claude-opus-5,2026-09-02T02:39:18Z,2039.596,161,136,end_turn,206.447,91.425,62.550,2400.020,0,true
HumanEval/14,claude-opus-5,2026-09-02T02:39:20Z,3045.638,150,118,end_turn,207.977,153.746,65.495,3472.858,0,true
HumanEval/15,claude-opus-5,2026-09-02T02:39:24Z,1909.713,164,126,end_turn,204.079,92.074,69.646,2275.514,0,true
HumanEval/16,claude-opus-5,2026-09-02T02:39:26Z,3156.280,166,118,end_turn,207.967,92.250,70.140,3526.639,0,true
HumanEval/17,claude-opus-5,2026-09-02T02:39:30Z,3525.200,278,283,end_turn,218.962,143.990,69.810,3957.963,0,true
HumanEval/18,claude-opus-5,2026-09-02T02:39:34Z,3601.592,186,198,end_turn,208.100,91.562,66.338,3967.593,0,true
HumanEval/19,claude-opus-5,2026-09-02T02:39:38Z,3978.492,222,314,end_turn,210.038,139.335,62.643,4390.509,0,true
