i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,172.799,90.603,103.211,366.614,0
1,169.965,97.332,95.602,362.901,0
2,165.169,93.803,102.697,361.669,0
3,162.961,96.672,101.435,361.070,0
4,167.303,92.808,95.501,355.613,0
5,174.280,97.946,104.090,376.316,0
6,163.966,93.778,100.410,358.156,0
7,169.940,92.251,97.681,359.873,0
8,178.292,92.450,95.970,366.713,0
9,161.713,98.288,100.823,360.826,0
10,169.949,94.350,93.757,358.057,0
11,176.512,94.233,94.623,365.369,0
12,170.050,97.099,98.001,365.151,0
13,172.396,93.865,92.262,358.524,0
14,173.106,96.559,96.412,366.079,0
15,162.725,93.699,101.430,357.855,0
16,168.663,92.953,98.671,360.287,0
17,167.418,98.727,100.013,366.159,0
18,163.445,96.045,95.564,355.056,0
19,171.499,91.666,102.250,365.416,0
20,168.118,92.675,92.910,353.704,0
21,158.515,95.758,101.514,355.787,0
22,180.781,94.724,96.012,371.519,0
23,173.058,94.572,98.090,365.722,0
24,171.268,92.149,100.756,364.174,0
25,169.740,96.722,100.968,367.431,0
26,180.079,91.837,105.000,376.917,0
27,173.446,97.660,104.948,376.055,0
28,181.156,97.076,98.118,376.351,0
29,180.239,91.967,97.820,370.027,0
30,169.032,94.159,92.897,356.089,0
31,166.605,92.912,93.722,353.239,0
32,170.388,96.474,106.925,373.789,0
33,170.975,93.977,101.721,366.674,0
34,170.141,92.379,105.399,367.920,0
35,175.848,93.679,113.721,383.249,0
36,177.499,94.929,99.280,371.709,0
37,161.766,97.195,102.240,361.202,0
38,173.057,93.624,95.727,362.409,0
39,176.324,95.027,97.115,368.468,0
40,172.556,96.452,95.672,364.681,0
41,169.404,97.217,103.666,370.288,0
42,168.302,93.278,92.248,353.830,0
43,174.204,96.493,94.218,364.916,0
44,165.486,95.502,93.776,354.765,0
45,168.510,92.240,96.439,357.189,0
46,175.049,92.145,101.680,368.875,0
47,171.769,93.791,99.107,364.668,0
48,173.092,97.771,102.540,373.404,0
49,174.148,93.195,111.316,378.660,0
50,180.524,93.147,96.057,369.729,0
51,176.516,97.948,97.640,372.105,0
52,174.502,96.174,103.241,373.918,0
53,175.937,93.526,94.465,363.929,0
54,166.785,95.364,96.732,358.882,0
55,169.923,91.190,94.961,356.074,0
56,180.728,99.568,101.453,381.750,0
57,164.792,96.290,108.577,369.660,0
58,168.101,92.182,97.294,357.578,0
59,164.391,91.654,100.740,356.786,0
60,176.236,91.456,96.377,364.070,0
61,170.396,99.034,93.590,363.022,0
62,168.482,92.799,108.788,370.070,0
63,175.540,91.881,96.916,364.338,0
64,172.530,94.247,106.967,373.745,0
65,178.348,102.060,94.236,374.646,0
66,177.403,95.893,98.095,371.392,0
67,165.539,96.780,99.185,361.505,0
68,189.129,97.833,99.742,386.705,0
69,174.392,94.409,100.140,368.941,0
70,166.314,94.405,105.072,365.792,0
71,176.738,95.826,90.873,363.438,0
72,175.184,98.658,91.052,364.894,0
73,171.284,92.760,100.982,365.027,0
74,169.793,95.423,93.472,358.689,0
75,172.745,92.774,95.220,360.740,0
76,177.101,94.714,95.024,366.840,0
77,170.783,94.303,104.184,369.271,0
78,179.497,97.947,101.266,378.712,0
79,186.811,94.969,102.299,384.080,0
80,170.479,96.349,118.828,385.656,0
81,169.019,92.980,102.644,364.644,0
82,177.098,93.859,106.301,377.259,0
83,174.297,93.321,99.718,367.338,0
84,173.916,97.354,101.084,372.355,0
85,175.945,95.889,100.265,372.100,0
86,170.902,93.393,93.701,357.996,0
87,165.504,92.865,102.231,360.600,0
88,173.749,95.796,102.095,371.641,0
89,169.931,92.654,105.597,368.182,0
90,174.935,96.913,96.272,368.121,0
91,173.899,93.083,99.549,366.533,0
92,178.734,98.929,98.469,376.132,0
93,170.256,97.009,104.531,371.798,0
94,181.188,95.177,105.818,382.184,0
95,172.388,91.891,100.830,365.110,0
96,172.933,94.638,101.072,368.645,0
97,165.306,93.081,100.744,359.133,0
98,168.994,94.615,98.305,361.915,0
99,167.107,93.269,109.082,369.460,0
100,169.730,96.890,108.192,374.813,0
101,171.797,96.108,101.266,369.172,0
102,170.690,90.409,101.650,362.750,0
103,172.417,96.462,97.155,366.034,0
104,180.459,95.358,101.976,377.793,0
105,166.530,96.492,101.414,364.437,0
106,168.468,93.388,98.827,360.683,0
107,175.057,94.335,109.517,378.910,0
108,177.563,98.125,113.050,388.740,0
109,179.289,95.437,97.821,372.548,0
110,171.685,93.312,103.223,368.220,0
111,171.794,95.212,98.710,365.717,0
112,174.844,110.942,108.918,394.705,0
113,181.644,98.518,104.402,384.566,0
114,179.367,96.654,99.308,375.330,0
115,170.521,94.974,98.730,364.226,0
116,177.706,93.227,102.069,373.004,0
117,177.275,97.365,103.038,377.679,0
118,163.816,91.106,95.455,350.378,0
119,178.809,92.653,103.487,374.950,0
120,170.468,97.599,101.561,369.629,0
121,167.084,91.567,101.432,360.084,0
122,184.738,98.117,107.681,390.536,0
123,179.341,93.037,103.282,375.661,0
124,168.241,94.456,100.519,363.217,0
125,173.838,94.471,99.904,368.214,0
126,166.694,93.385,95.645,355.725,0
127,167.691,91.572,98.024,357.288,0
128,166.105,96.124,95.440,357.670,0
129,175.870,92.470,94.845,363.186,0
130,178.534,96.293,100.784,375.611,0
131,174.207,92.247,99.013,365.468,0
132,177.076,92.798,100.680,370.555,0
133,169.843,90.586,92.839,353.269,0
134,173.777,94.030,102.182,369.990,0
135,167.342,95.176,96.238,358.757,0
136,178.398,94.920,97.101,370.421,0
137,160.463,96.808,95.528,352.800,0
138,174.985,93.320,105.464,373.769,0
139,177.350,99.993,98.732,376.076,0
140,174.428,93.960,102.792,371.181,0
141,183.354,98.364,102.222,383.940,0
142,186.095,92.587,96.804,375.487,0
143,175.760,93.641,106.254,375.656,0
144,177.109,96.485,113.570,387.164,0
145,175.876,97.106,98.056,371.038,0
146,179.085,93.694,105.349,378.129,0
147,176.746,93.839,100.410,370.996,0
148,171.562,96.194,96.310,364.067,0
149,179.378,100.570,107.012,386.961,0
150,186.528,95.270,107.115,388.914,0
151,172.015,97.462,98.293,367.772,0
152,169.796,93.217,108.833,371.847,0
153,190.723,94.968,96.553,382.244,0
154,175.654,97.478,103.199,376.331,0
155,171.332,98.758,101.954,372.045,0
156,175.060,96.755,111.659,383.475,0
157,185.368,94.893,104.536,384.798,0
158,171.933,92.685,107.489,372.108,0
