i,create_ms,first_exec_ms,destroy_ms,total_ms
0,201.969,86.519,62.802,351.291
1,203.014,85.208,65.380,353.604
2,201.440,86.098,72.383,359.921
3,196.109,85.330,64.322,345.762
4,195.044,82.488,61.251,338.784
5,198.019,83.840,60.967,342.827
6,194.037,82.416,65.287,341.741
7,204.938,83.425,62.871,351.235
8,213.495,81.311,61.299,356.106
9,194.089,84.870,59.275,338.235
10,191.848,84.137,58.835,334.820
11,194.391,84.242,62.415,341.049
12,185.582,80.777,58.030,324.389
13,190.513,82.769,63.306,336.589
14,193.874,80.593,64.067,338.535
15,186.773,81.606,64.175,332.555
16,199.941,84.420,60.257,344.619
17,188.526,80.972,61.479,330.977
18,197.021,85.031,63.122,345.175
19,192.645,81.876,65.985,340.507
20,195.779,86.050,65.409,347.240
21,189.488,85.871,59.197,334.557
22,187.951,86.677,64.319,338.949
23,191.842,80.932,59.916,332.691
24,190.170,82.946,63.344,336.462
25,195.716,83.348,63.577,342.643
26,195.729,83.775,62.165,341.670
27,191.497,82.069,57.614,331.180
28,197.034,84.311,63.714,345.060
29,190.204,80.615,59.745,330.565
30,193.626,82.823,60.208,336.657
31,188.592,85.009,60.476,334.078
32,189.008,82.298,63.475,334.783
33,189.839,81.350,59.854,331.044
34,208.401,83.281,57.107,348.789
35,193.411,84.140,62.467,340.019
36,198.249,82.207,60.010,340.466
37,196.761,84.867,58.938,340.566
38,191.043,83.991,59.987,335.023
39,195.158,81.056,58.510,334.726
40,191.635,84.571,60.789,336.996
41,195.917,81.015,63.035,339.969
42,192.239,84.606,64.416,341.262
43,209.797,80.063,66.267,356.129
44,184.776,83.252,63.107,331.136
45,195.254,85.101,67.742,348.098
46,189.890,80.157,62.537,332.585
47,204.537,83.482,65.992,354.012
48,192.895,84.222,63.921,341.039
49,203.414,84.537,65.212,353.165
50,192.961,84.936,65.220,343.118
51,199.801,85.524,61.406,346.733
52,210.751,83.214,61.630,355.596
53,190.858,81.581,61.223,333.663
54,192.540,83.633,64.701,340.876
55,201.353,82.387,66.131,349.872
56,198.947,83.760,64.125,346.833
57,194.878,85.227,65.697,345.803
58,202.450,84.942,64.989,352.382
59,195.448,84.858,67.507,347.814
60,195.470,90.150,69.138,354.760
61,190.446,81.609,63.420,335.477
62,204.227,84.547,64.093,352.868
63,191.579,84.699,61.625,337.905
64,198.195,87.569,65.325,351.090
65,194.811,82.395,65.189,342.396
66,196.384,82.127,67.394,345.906
67,192.951,82.414,66.277,341.642
68,188.555,82.070,59.879,330.505
69,197.674,82.330,62.248,342.252
70,193.807,87.123,65.535,346.467
71,199.501,83.563,64.606,347.670
72,196.584,84.203,60.857,341.645
73,192.454,83.893,65.756,342.104
74,194.201,82.631,58.573,335.406
75,203.344,83.264,68.036,354.645
76,195.874,84.548,62.729,343.152
77,192.020,82.154,62.258,336.433
78,201.807,85.110,68.055,354.972
79,191.540,81.959,65.185,338.685
80,194.122,81.896,61.378,337.397
81,198.463,86.168,67.427,352.060
82,197.750,83.470,63.586,344.807
83,199.646,82.965,61.785,344.398
84,199.930,81.960,64.831,346.722
85,202.830,84.212,67.623,354.665
86,188.902,85.294,64.587,338.784
87,196.449,83.755,65.139,345.344
88,201.763,88.518,62.265,352.546
89,192.488,80.746,66.922,340.157
90,211.262,82.270,58.892,352.426
91,196.940,82.916,61.929,341.786
92,195.161,83.229,60.582,338.973
93,194.498,86.941,63.784,345.224
94,189.079,84.392,60.293,333.765
95,197.599,84.301,61.814,343.714
96,196.786,84.191,63.650,344.628
97,190.926,84.710,62.167,337.804
98,189.866,83.026,66.370,339.264
99,203.218,86.949,61.526,351.695
100,195.115,80.474,63.789,339.379
101,192.597,87.332,63.620,343.549
102,202.330,82.616,61.042,345.989
103,196.824,83.523,67.373,347.721
104,190.949,84.777,61.429,337.156
105,188.667,83.211,65.322,337.201
106,197.879,85.243,60.710,343.833
107,201.080,86.317,73.166,360.564
108,201.121,85.373,61.737,348.231
109,201.368,85.105,64.229,350.702
110,204.121,82.981,63.082,350.185
111,192.088,85.176,60.989,338.254
112,196.138,84.018,65.086,345.243
113,190.857,81.213,62.953,335.024
114,194.850,86.200,61.841,342.892
115,198.665,84.193,63.909,346.768
116,200.690,83.538,70.776,355.005
117,205.105,83.167,66.876,355.149
118,198.690,85.311,62.678,346.679
119,200.035,83.777,66.927,350.740
120,196.543,85.945,60.041,342.531
