i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,157.436,81.789,61.960,301.186,0
1,147.117,78.725,67.014,292.858,0
2,150.006,80.679,68.903,299.590,0
3,150.263,79.500,64.937,294.701,0
4,147.753,81.027,60.492,289.273,0
5,154.961,79.854,63.880,298.696,0
6,155.766,84.346,58.992,299.105,0
7,153.920,79.991,62.435,296.346,0
8,159.571,83.457,67.961,310.990,0
9,156.993,81.675,71.275,309.945,0
10,157.996,81.443,63.981,303.421,0
11,145.731,80.014,67.236,292.981,0
12,147.675,79.653,66.439,293.768,0
13,164.819,81.317,64.566,310.703,0
14,152.607,82.718,62.157,297.482,0
15,164.192,86.950,65.592,316.736,0
16,156.788,81.035,60.046,297.871,0
17,155.351,81.722,61.126,298.200,0
18,152.883,79.549,67.344,299.777,0
19,155.107,82.776,74.910,312.794,0
20,150.685,79.787,71.638,302.111,0
21,147.432,83.615,67.359,298.407,0
22,150.654,83.310,71.077,305.042,0
23,154.607,81.844,66.866,303.317,0
24,161.066,82.695,67.895,311.657,0
25,158.460,98.594,70.741,327.796,0
26,162.206,83.916,64.548,310.671,0
27,149.655,79.901,62.035,291.592,0
28,152.198,80.405,58.238,290.842,0
29,143.028,81.204,59.454,283.688,0
30,162.621,80.616,61.175,304.413,0
31,142.865,80.969,58.889,282.724,0
32,149.146,82.865,59.263,291.275,0
33,153.428,81.687,64.186,299.302,0
34,151.793,79.302,68.109,299.205,0
35,148.760,82.260,61.381,292.402,0
36,150.810,79.043,58.161,288.015,0
37,156.581,82.108,68.386,307.076,0
38,155.214,79.620,63.234,298.069,0
39,152.079,84.517,63.892,300.488,0
40,149.208,80.424,60.552,290.185,0
41,152.147,78.439,64.410,294.997,0
42,145.097,83.321,60.322,288.741,0
43,145.092,83.133,59.362,287.588,0
44,155.202,83.408,66.128,304.739,0
45,155.620,81.874,65.149,302.644,0
46,153.410,78.865,64.252,296.528,0
47,164.303,80.289,62.954,307.547,0
48,147.559,77.233,67.666,292.459,0
49,143.220,83.443,63.589,290.254,0
50,155.092,83.062,62.964,301.119,0
51,151.612,81.515,63.607,296.735,0
52,156.804,81.397,64.170,302.371,0
53,155.569,83.361,68.167,307.097,0
54,146.429,78.709,67.917,293.056,0
55,153.646,80.933,66.441,301.021,0
56,149.516,84.691,66.684,300.893,0
57,146.791,77.358,66.562,290.712,0
58,148.350,83.033,63.767,295.150,0
59,152.085,80.128,62.446,294.660,0
60,157.517,81.982,65.391,304.890,0
61,155.265,77.627,61.277,294.169,0
62,146.669,80.889,63.193,290.752,0
63,155.624,79.129,70.072,304.825,0
64,158.297,83.009,62.094,303.401,0
65,151.427,79.082,63.263,293.773,0
66,154.411,81.656,63.346,299.414,0
67,156.121,82.054,69.196,307.372,0
68,155.058,84.006,63.891,302.956,0
69,144.541,84.781,60.256,289.579,0
70,158.208,84.931,65.671,308.812,0
71,149.106,81.149,63.035,293.291,0
72,153.230,82.141,67.367,302.739,0
73,157.763,77.295,66.229,301.288,0
74,149.756,82.645,65.363,297.765,0
75,146.776,81.875,59.279,287.931,0
76,155.887,83.075,60.185,299.147,0
77,149.939,84.111,67.703,301.754,0
78,150.926,83.127,63.345,297.399,0
79,147.317,83.225,66.804,297.347,0
80,163.835,79.868,71.392,315.096,0
81,148.492,79.411,68.385,296.289,0
82,153.275,81.243,62.003,296.523,0
83,162.739,81.400,63.652,307.792,0
84,151.632,80.370,60.371,292.375,0
85,150.235,81.289,64.325,295.850,0
86,153.691,80.053,63.466,297.211,0
87,151.572,81.806,63.877,297.256,0
88,149.386,79.067,59.884,288.338,0
89,150.056,81.351,62.677,294.085,0
90,159.625,77.549,64.105,301.280,0
91,151.206,82.990,61.007,295.204,0
92,160.419,79.783,64.896,305.100,0
93,160.770,84.765,61.407,306.943,0
94,156.705,80.212,62.662,299.580,0
95,152.918,81.854,63.288,298.061,0
96,153.014,82.882,64.496,300.393,0
97,144.801,82.235,78.082,305.119,0
98,149.085,81.847,59.832,290.765,0
99,146.161,82.234,62.856,291.252,0
100,161.818,81.338,60.784,303.941,0
101,159.544,77.352,65.755,302.651,0
102,149.774,79.056,66.180,295.012,0
103,153.466,83.475,65.064,302.006,0
104,148.278,81.755,66.980,297.014,0
105,151.341,79.296,61.702,292.340,0
106,153.622,81.904,60.790,296.318,0
107,151.991,78.074,64.567,294.633,0
108,154.896,82.272,58.132,295.301,0
109,145.106,81.843,68.240,295.190,0
110,162.408,79.855,64.823,307.087,0
111,153.753,82.476,66.052,302.283,0
112,152.028,81.059,61.389,294.477,0
113,153.439,78.740,62.114,294.294,0
114,148.101,80.656,60.766,289.523,0
115,157.234,78.917,68.446,304.598,0
116,150.490,85.515,63.197,299.204,0
117,162.418,79.120,58.855,300.394,0
118,149.504,79.204,61.106,289.814,0
119,149.255,85.705,59.969,294.930,0
120,154.086,83.182,65.826,303.096,0
121,150.731,78.635,61.676,291.044,0
122,148.629,77.473,65.244,291.347,0
123,148.907,80.717,62.696,292.321,0
124,159.418,79.110,65.879,304.408,0
125,150.067,78.101,59.119,287.287,0
126,150.081,79.082,63.453,292.617,0
127,159.894,77.704,60.228,297.827,0
128,153.691,83.256,61.340,298.289,0
129,148.383,83.543,64.939,296.867,0
130,155.646,78.187,62.920,296.754,0
131,144.343,78.574,60.466,283.385,0
132,150.162,80.502,74.293,304.958,0
133,160.542,82.014,67.952,310.509,0
134,154.083,79.508,71.152,304.744,0
135,147.373,80.758,61.996,290.128,0
136,153.416,79.242,67.134,299.794,0
137,149.137,82.812,64.287,296.237,0
138,154.860,80.905,61.003,296.769,0
139,151.426,82.979,59.385,293.792,0
140,149.881,79.344,65.968,295.194,0
141,147.122,79.329,64.578,291.029,0
142,146.941,80.434,58.992,286.368,0
143,148.990,82.139,66.462,297.592,0
144,153.847,82.630,62.767,299.245,0
145,153.651,81.023,62.364,297.038,0
146,146.611,82.408,64.183,293.204,0
147,152.501,81.469,63.188,297.159,0
148,145.816,81.689,62.779,290.285,0
149,147.991,78.624,60.386,287.001,0
150,168.457,77.812,66.456,312.726,0
151,161.309,78.879,66.469,306.657,0
152,148.198,79.125,66.783,294.107,0
153,150.178,82.264,62.090,294.534,0
154,150.769,79.696,64.051,294.517,0
155,143.030,78.185,68.546,289.761,0
156,159.332,79.581,58.276,297.191,0
157,157.889,79.829,68.063,305.782,0
158,155.640,78.748,62.523,296.911,0
159,152.234,78.655,62.577,293.466,0
160,154.221,78.311,67.838,300.371,0
161,147.522,79.633,64.991,292.147,0
162,150.355,81.115,61.231,292.702,0
163,145.113,80.810,64.591,290.515,0
164,156.143,81.602,62.105,299.850,0
165,147.130,77.676,64.585,289.392,0
166,153.840,78.838,59.672,292.350,0
167,151.157,78.369,64.042,293.569,0
168,162.967,79.742,64.466,307.176,0
169,152.365,79.756,64.416,296.538,0
170,149.976,79.031,63.803,292.811,0
171,156.566,79.214,58.503,294.283,0
172,150.933,78.614,61.384,290.932,0
173,149.950,80.629,70.797,301.376,0
174,157.638,78.291,61.049,296.980,0
175,156.630,79.696,67.341,303.668,0
176,151.834,78.458,62.320,292.613,0
177,149.303,79.313,66.330,294.947,0
178,148.428,78.551,63.881,290.862,0
179,151.291,79.243,61.898,292.433,0
180,151.588,81.004,65.174,297.766,0
181,153.552,80.459,60.746,294.758,0
182,163.011,80.655,61.887,305.554,0
183,150.983,81.989,59.063,292.035,0
184,151.006,80.887,66.655,298.548,0
185,159.573,79.266,67.029,305.869,0
186,162.599,78.767,63.961,305.328,0
187,149.375,79.424,64.270,293.070,0
188,151.168,81.724,57.595,290.489,0
189,152.583,80.957,66.481,300.022,0
190,153.865,76.748,65.160,295.774,0
191,159.585,79.915,66.166,305.667,0
192,143.051,78.488,60.359,281.899,0
193,151.684,79.362,58.398,289.446,0
194,157.366,78.911,60.776,297.055,0
195,146.036,80.002,61.590,287.629,0
196,150.487,78.498,67.359,296.345,0
197,148.195,83.604,66.310,298.110,0
198,147.191,78.768,61.874,287.834,0
199,147.466,81.184,62.583,291.234,0
