test,threat,attempt_exit,signature,postcondition,evidence
mount_host,T1;T2,0,DENIED,DENIED,"mounts_on_/mnt=0"
proc1_root,T1,0,DENIED,DENIED,"proc1_root_dev_ino=43:810222 root_dev_ino=43:810222 pid1=tail"
docker_sock,T2;T3,0,UNDENIED,DENIED,"sockets_found=0 api_reachable=False"
modprobe,T2,0,DENIED,DENIED,"init_module errno=1(Operation not permitted)"
raw_socket,T2,0,DENIED,DENIED,"errno=1(Operation not permitted)"
setns,T2,0,DENIED,DENIED,"unshare rc=1 unshare: unshare failed: Operation not permitted"
rfc1918,T3,0,DENIED,DENIED,"ifaces=lo"
imds,T3,0,DENIED,DENIED,"ifaces=lo"
fork_bomb,T4,0,DENIED,DENIED,"forked=250 EAGAIN after 250 forks host:pids.max= pids.events="
mem_bomb,T4,-1,UNDENIED,DENIED,"exit=-1 host:memory.max=  sandbox:max=536870912 oom_kill 1"
ro_root,T1,0,DENIED,DENIED,"/etc:absent /usr/bin:absent "
ptrace_agent,T2;T3,0,DENIED,DENIED,"PTRACE_ATTACH pid=7 errno=1(Operation not permitted) yama=1"
