i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,157.516,86.753,99.250,343.521,0
1,153.875,86.658,102.381,342.915,0
2,147.839,85.788,99.430,333.058,0
3,146.924,89.326,108.004,344.255,0
4,154.265,87.127,88.485,329.878,0
5,145.446,88.448,87.781,321.675,0
6,146.002,86.189,99.386,331.578,0
7,149.040,90.690,100.981,340.712,0
8,143.789,86.432,95.050,325.272,0
9,144.913,86.169,86.258,317.341,0
10,152.096,86.084,91.795,329.977,0
11,149.510,86.114,97.515,333.141,0
12,158.092,89.375,100.436,347.904,0
13,155.613,87.330,94.230,337.174,0
14,141.247,87.725,103.825,332.798,0
15,147.025,87.574,96.002,330.602,0
16,152.928,90.341,91.138,334.408,0
17,149.809,89.887,88.677,328.375,0
18,155.043,92.055,95.010,342.108,0
19,165.313,89.807,101.875,356.997,0
20,146.072,85.810,97.413,329.296,0
21,153.182,89.432,96.812,339.426,0
22,153.058,88.522,103.641,345.223,0
23,148.576,88.771,94.598,331.947,0
24,152.820,90.397,101.125,344.344,0
25,155.624,87.276,96.690,339.591,0
26,153.862,88.875,91.615,334.354,0
27,151.637,91.681,107.028,350.348,0
28,163.098,86.256,96.060,345.415,0
29,148.083,84.935,89.645,322.664,0
30,152.879,87.800,89.787,330.468,0
31,156.590,86.111,101.190,343.892,0
32,145.627,88.933,92.871,327.431,0
33,149.977,87.374,91.876,329.228,0
34,159.514,86.830,106.363,352.708,0
35,149.176,86.611,103.869,339.658,0
36,151.520,91.004,97.817,340.342,0
37,153.980,88.183,98.257,340.421,0
38,148.287,86.998,92.325,327.611,0
39,150.158,88.499,94.422,333.079,0
40,152.009,89.077,98.409,339.496,0
41,151.490,86.782,95.844,334.117,0
42,149.018,86.725,99.189,334.933,0
43,154.838,85.307,97.477,337.622,0
44,146.837,86.876,102.164,335.878,0
45,152.260,86.694,99.520,338.475,0
46,151.970,84.907,96.442,333.320,0
47,150.486,86.949,91.782,329.218,0
48,147.215,88.287,103.887,339.390,0
49,157.713,87.379,94.158,339.250,0
50,146.859,84.073,89.448,320.381,0
51,154.459,87.371,103.421,345.252,0
52,154.701,88.461,91.488,334.651,0
53,149.456,88.098,98.973,336.528,0
54,149.262,87.590,94.808,331.661,0
55,150.361,86.851,97.446,334.658,0
56,151.201,88.977,102.146,342.324,0
57,149.257,89.810,98.788,337.857,0
58,163.704,90.498,92.617,346.820,0
59,147.583,89.061,97.695,334.339,0
60,150.738,87.567,97.343,335.650,0
61,148.920,91.413,95.281,335.615,0
62,146.135,86.924,96.839,329.899,0
63,148.053,90.002,97.056,335.112,0
64,158.914,86.040,100.232,345.187,0
65,146.051,88.158,96.487,330.697,0
66,142.901,88.597,96.826,328.325,0
67,158.395,84.663,89.788,332.848,0
68,146.727,89.028,99.612,335.369,0
69,147.599,88.434,102.938,338.973,0
70,150.266,87.075,96.789,334.131,0
71,145.876,89.704,96.901,332.482,0
72,148.888,89.315,100.270,338.474,0
73,153.977,86.285,90.570,330.832,0
74,147.522,90.045,95.142,332.710,0
75,148.402,87.370,101.649,337.422,0
76,145.875,85.547,97.466,328.889,0
77,149.004,86.315,95.660,330.980,0
78,150.357,87.908,102.369,340.635,0
79,157.192,88.958,95.030,341.181,0
80,158.890,90.332,93.333,342.557,0
81,153.926,89.396,92.462,335.785,0
82,150.515,92.407,97.719,340.642,0
83,148.459,85.772,95.901,330.133,0
84,151.118,88.808,94.294,334.221,0
85,152.896,86.986,99.930,339.812,0
86,151.495,87.085,98.517,337.098,0
87,146.288,88.941,95.102,330.332,0
88,149.698,88.232,101.780,339.711,0
89,146.442,86.534,98.917,331.894,0
90,144.542,87.771,101.946,334.259,0
91,149.305,87.064,100.690,337.059,0
92,157.035,87.848,93.412,338.297,0
93,149.613,88.164,91.874,329.652,0
94,153.470,88.993,96.887,339.351,0
95,152.749,87.857,95.508,336.114,0
96,159.555,85.822,96.809,342.186,0
97,158.460,85.918,95.497,339.876,0
98,150.900,85.991,101.498,338.390,0
99,152.594,84.753,96.242,333.590,0
100,147.003,86.137,93.337,326.478,0
101,145.006,89.266,87.763,322.036,0
102,152.318,85.692,99.695,337.706,0
103,146.407,84.301,100.089,330.797,0
104,149.894,91.398,98.576,339.870,0
105,151.432,85.582,102.405,339.419,0
106,147.557,85.434,93.725,326.718,0
107,141.630,86.205,101.745,329.580,0
108,154.177,85.234,97.253,336.665,0
109,148.184,85.695,94.460,328.340,0
110,145.940,85.264,101.998,333.203,0
111,148.210,86.493,98.282,332.986,0
112,150.746,84.839,92.674,328.260,0
113,149.785,88.249,100.137,338.172,0
114,149.065,85.386,97.777,332.228,0
115,153.708,88.342,98.192,340.244,0
116,144.783,88.179,90.954,323.916,0
117,156.716,88.715,90.631,336.063,0
118,148.020,90.586,100.874,339.480,0
119,152.983,89.115,98.116,340.215,0
120,145.875,90.317,100.718,336.911,0
121,150.874,86.021,100.060,336.956,0
122,154.821,90.928,93.683,339.433,0
123,154.004,86.460,96.058,336.523,0
124,151.196,86.874,99.588,337.659,0
125,145.761,94.029,92.620,332.410,0
126,157.258,93.731,98.457,349.447,0
127,156.035,88.403,88.759,333.197,0
128,149.143,88.538,96.033,333.715,0
129,154.097,87.036,99.861,340.996,0
130,145.322,87.236,99.471,332.030,0
131,145.642,89.367,98.751,333.761,0
132,163.176,87.779,95.723,346.679,0
133,144.602,86.601,93.059,324.262,0
134,158.783,86.598,100.249,345.631,0
135,157.753,86.841,96.079,340.674,0
136,145.417,89.259,93.575,328.252,0
137,147.038,88.517,100.708,336.264,0
138,154.056,87.706,94.795,336.558,0
139,155.738,86.406,98.575,340.720,0
140,146.796,87.320,95.409,329.527,0
