i,create_ms,first_exec_ms,destroy_ms,total_ms
0,175.745,78.531,62.315,316.592
1,176.042,76.059,62.153,314.255
2,173.080,79.230,58.650,310.962
3,169.671,77.608,55.991,303.271
4,173.759,79.681,61.324,314.764
5,176.610,76.046,60.816,313.474
6,167.674,79.091,62.715,309.481
7,185.722,77.891,59.334,322.947
8,177.522,76.657,53.270,307.450
9,173.390,77.415,66.551,317.357
10,184.353,77.651,55.299,317.304
11,172.213,76.903,59.645,308.762
12,168.784,76.809,56.876,302.471
13,178.374,77.573,57.475,313.423
14,175.927,77.660,62.678,316.267
15,178.443,79.370,60.659,318.472
16,176.948,76.573,58.066,311.588
17,175.608,77.713,58.088,311.410
18,172.721,76.163,60.373,309.258
19,178.228,78.820,61.186,318.235
20,173.929,78.656,59.266,311.852
21,178.307,82.583,60.711,321.602
22,171.192,78.755,62.507,312.454
23,172.384,78.447,58.359,309.190
24,176.700,80.814,60.060,317.574
25,183.114,78.028,55.659,316.801
26,188.677,78.579,57.573,324.830
27,172.516,79.675,56.874,309.066
28,179.403,80.748,61.567,321.718
29,174.562,76.060,58.176,308.799
30,186.571,79.534,60.524,326.630
31,171.617,78.390,60.187,310.195
32,182.420,78.573,61.366,322.360
33,176.359,76.612,59.821,312.794
34,182.752,77.544,59.847,320.144
35,178.314,76.810,59.989,315.114
36,171.631,78.860,55.579,306.071
37,178.394,80.408,58.616,317.418
38,178.319,78.587,61.295,318.202
39,172.328,77.387,54.062,303.779
40,171.721,77.211,58.747,307.681
41,178.122,77.685,58.933,314.741
42,178.975,76.869,61.643,317.488
43,171.155,76.112,58.842,306.110
44,176.372,78.786,55.394,310.553
45,179.340,77.296,59.339,315.975
46,179.320,79.939,55.004,314.265
47,182.353,77.054,58.556,317.964
48,180.330,77.420,57.019,314.770
49,176.647,78.014,55.397,310.059
50,170.818,79.394,60.636,310.848
51,180.637,77.693,64.940,323.271
52,180.008,78.705,56.274,314.988
53,173.198,76.909,64.824,314.933
54,179.675,76.700,64.404,320.780
55,182.144,77.540,61.395,321.081
56,177.612,78.386,58.691,314.690
57,171.057,77.098,60.859,309.015
58,180.569,78.741,55.650,314.961
59,176.664,76.928,61.044,314.637
60,174.720,77.028,57.550,309.300
61,185.138,76.188,59.175,320.503
62,178.446,80.353,57.569,316.369
63,181.032,76.272,58.015,315.321
64,179.506,77.886,57.154,314.548
65,178.235,77.736,55.238,311.210
66,172.999,79.589,53.325,305.914
67,189.880,75.943,56.477,322.301
68,173.452,79.810,60.188,313.451
69,175.383,75.929,56.346,307.659
70,172.322,80.711,60.578,313.613
71,176.553,76.187,59.581,312.322
72,169.430,77.527,57.593,304.551
73,175.777,78.625,64.010,318.413
74,190.097,76.159,57.578,323.836
75,175.000,80.052,58.104,313.157
76,182.421,78.805,58.337,319.564
77,182.302,78.292,55.056,315.651
78,176.523,81.761,61.285,319.570
79,179.209,78.241,54.909,312.360
80,181.204,76.622,60.927,318.754
81,179.600,79.531,56.662,315.794
82,194.736,84.214,69.204,348.155
83,187.411,76.499,58.512,322.422
84,187.168,79.141,59.562,325.871
85,178.643,80.791,57.447,316.883
86,196.602,77.849,61.990,336.442
87,175.856,77.712,57.787,311.356
88,181.091,75.283,60.175,316.550
89,185.145,78.074,60.541,323.761
90,178.002,78.712,61.854,318.569
91,179.756,79.738,60.177,319.672
92,189.739,80.075,58.774,328.589
93,182.827,79.659,57.373,319.860
94,180.374,78.094,64.511,322.979
95,188.077,77.944,64.601,330.623
96,185.535,76.862,64.290,326.689
97,182.846,79.108,63.780,325.735
98,179.491,78.754,61.749,319.994
99,181.541,79.691,56.737,317.971
100,189.707,79.349,62.003,331.060
101,182.138,78.770,66.535,327.444
102,176.448,79.141,61.310,316.899
103,177.937,78.597,61.305,317.841
104,184.350,79.606,63.374,327.331
105,178.181,82.611,62.009,322.802
106,178.572,79.235,61.036,318.844
107,176.393,78.687,65.309,320.391
108,188.762,76.786,62.326,327.876
109,180.707,80.125,56.743,317.576
110,182.816,81.239,60.805,324.861
111,189.933,79.181,60.719,329.834
112,183.343,76.478,58.397,318.219
113,184.741,80.512,64.320,329.575
114,185.681,77.033,59.971,322.687
115,178.953,78.702,55.851,313.507
116,178.484,78.698,56.565,313.749
117,180.737,76.582,60.982,318.302
118,168.136,76.184,60.516,304.837
119,175.029,77.236,54.182,306.449
120,182.118,77.686,62.348,322.152
121,178.339,76.409,58.299,313.048
122,174.741,77.219,62.097,314.057
123,188.479,77.545,68.373,334.398
124,184.101,80.506,55.606,320.213
125,176.821,77.880,56.165,310.868
126,177.011,81.806,60.117,318.936
127,178.250,78.264,56.467,312.981
128,177.028,76.142,58.285,311.456
129,176.536,81.318,64.527,322.383
130,178.605,75.446,60.126,314.178
131,172.204,80.178,60.731,313.114
