test,threat,attempt_exit,signature,postcondition,evidence
mount_host,T1;T2,0,DENIED,DENIED,"mounts_on_/mnt=0"
proc1_root,T1,0,DENIED,DENIED,"proc1_root_dev_ino=36:1335030 root_dev_ino=36:1335030 pid1=tail"
docker_sock,T2;T3,0,UNDENIED,DENIED,"sockets_found=0 api_reachable=False"
modprobe,T2,0,DENIED,DENIED,"init_module errno=38(Function not implemented)"
raw_socket,T2,0,DENIED,DENIED,"errno=1(Operation not permitted)"
setns,T2,0,UNDENIED,DENIED,"new pid ns pid:[4026532262] (was pid:[4026532257]); not a host kernel namespace (inode absent from host /proc)"
rfc1918,T3,0,DENIED,DENIED,"ifaces=lo"
imds,T3,0,DENIED,DENIED,"ifaces=lo"
fork_bomb,T4,,UNDENIED,DENIED,"exec channel dropped and sandbox is dead: the limit killed the whole sandbox; agent included  host:pids.max=19108 pids.events=max 0 "
mem_bomb,T4,-1,UNDENIED,DENIED,"exit=-1 host:memory.max=max oom_kill 0  sandbox:max=536870912 oom_kill 1"
ro_root,T1,0,DENIED,DENIED,"/etc:absent /usr/bin:absent "
ptrace_agent,T2;T3,0,UNDENIED,UNDENIED,"PTRACE_ATTACH pid=2 succeeded yama=absent"
