flag,run,ms
stock,1,2737
readonly,1,2724
capdrop,1,2816
nnp,1,2749
pids,1,3310
netnone,1,7796
cpus1,1,10728
mem512,1,2559
tmpfs,1,3330
all,1,7672
stock,2,2825
readonly,2,2691
capdrop,2,2807
nnp,2,2761
pids,2,3384
netnone,2,7703
cpus1,2,10716
mem512,2,2595
tmpfs,2,2957
all,2,7917
stock,3,3287
readonly,3,3382
capdrop,3,2856
nnp,3,2679
pids,3,2952
netnone,3,7663
cpus1,3,10805
mem512,3,2604
tmpfs,3,2839
all,3,7726
# docker run --rm --runtime=kata <flag> python:3.10-slim true, wall-clock ms, 3 runs each, same host as the campaign, 2026-09-02T04:17:45Z
