i,create_ms,first_exec_ms,destroy_ms,total_ms
0,7223.321,218.589,297.685,7739.596
1,7192.918,225.809,307.247,7725.975
2,7257.848,225.034,294.714,7777.597
3,7229.095,235.103,304.434,7768.632
4,7206.760,240.931,298.071,7745.762
5,7311.863,222.069,290.985,7824.918
6,7297.067,229.413,297.665,7824.146
7,7279.094,205.597,306.347,7791.039
8,7291.915,221.640,305.412,7818.969
9,7283.291,197.034,316.829,7797.155
10,7287.970,238.333,333.367,7859.671
11,7297.369,227.688,322.575,7847.632
12,7308.919,222.167,300.520,7831.607
13,7273.830,237.663,312.820,7824.313
14,7295.658,220.285,308.690,7824.634
15,7242.901,219.208,314.340,7776.450
16,7305.578,252.453,305.016,7863.049
17,7279.610,232.086,308.744,7820.441
18,7298.963,234.054,329.487,7862.505
19,7308.222,238.897,316.924,7864.044
20,7350.596,225.336,311.102,7887.035
21,7299.148,232.781,308.259,7840.189
22,7271.586,223.404,337.296,7832.286
23,7288.929,233.038,310.184,7832.152
24,7230.618,228.264,334.404,7793.287
25,7266.209,226.029,323.234,7815.473
26,7220.040,200.039,317.599,7737.679
27,7228.101,240.014,326.025,7794.142
28,7295.373,237.704,312.605,7845.683
29,7229.413,219.424,330.510,7779.349
30,7320.009,217.870,329.426,7867.306
31,7246.210,218.887,328.294,7793.392
32,7268.041,231.332,342.644,7842.018
33,7229.453,227.887,315.404,7772.745
34,7314.860,220.052,311.432,7846.345
35,7310.158,242.941,318.102,7871.202
36,7264.033,223.477,327.308,7814.819
37,7221.008,226.565,320.140,7767.713
38,7302.749,220.124,319.612,7842.486
39,7297.287,231.064,320.368,7848.720
