i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,2446.769,229.739,300.119,2976.628,0
1,2381.972,229.012,295.893,2906.879,0
2,2420.108,221.759,288.131,2930.000,0
3,2430.074,235.983,294.695,2960.753,0
4,2432.682,233.049,285.190,2950.921,0
5,2366.070,238.826,283.238,2888.136,0
6,2454.262,236.993,291.292,2982.548,0
7,2437.593,240.860,294.445,2972.899,0
8,2389.345,230.466,291.370,2911.181,0
9,2437.621,246.389,312.384,2996.395,0
10,2450.989,229.629,291.038,2971.657,0
11,2401.768,226.650,289.951,2918.369,0
12,2459.131,219.900,291.729,2970.761,0
13,2433.301,210.890,286.320,2930.512,0
14,2441.684,231.156,279.329,2952.170,0
15,2377.794,237.360,298.099,2913.253,0
16,2390.446,240.701,302.255,2933.402,0
17,2445.438,227.927,292.201,2965.566,0
18,2459.373,217.812,291.149,2968.334,0
19,2455.510,229.947,302.336,2987.795,0
20,2358.130,225.507,286.533,2870.171,0
21,2430.312,228.231,274.944,2933.487,0
22,2427.875,226.401,302.610,2956.886,0
23,2423.572,230.240,292.390,2946.204,0
24,2429.575,227.639,277.231,2934.446,0
25,2455.198,221.190,302.832,2979.221,0
26,2432.893,221.148,298.094,2952.135,0
27,2430.237,232.201,295.359,2957.799,0
28,2409.082,231.100,279.505,2919.688,0
29,2457.016,220.024,274.701,2951.743,0
30,2464.446,226.959,294.757,2986.162,0
31,2454.218,228.124,262.207,2944.550,0
32,2455.690,229.617,287.639,2972.947,0
33,2458.740,235.180,294.569,2988.490,0
34,2459.690,230.601,262.650,2952.941,0
35,2426.730,217.647,288.172,2932.550,0
36,2450.855,228.695,288.917,2968.469,0
37,2445.424,229.445,292.392,2967.262,0
38,2447.798,226.530,284.467,2958.797,0
39,2343.010,224.326,301.849,2869.186,0
