i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,7219.370,189.547,328.341,7737.259,0
1,7189.652,188.843,330.037,7708.533,0
2,7262.291,208.779,342.697,7813.768,0
3,7263.624,188.024,329.284,7780.933,0
4,7218.774,203.091,338.314,7760.181,0
5,7224.252,211.609,330.351,7766.212,0
6,7192.125,177.514,332.209,7701.850,0
7,7178.155,213.315,333.888,7725.358,0
8,7201.346,199.174,338.560,7739.081,0
9,7182.585,216.597,336.583,7735.766,0
10,7252.636,197.943,333.333,7783.914,0
11,7262.906,222.121,320.864,7805.892,0
12,7282.972,211.269,286.329,7780.571,0
13,7214.531,224.206,298.637,7737.375,0
14,7189.760,191.759,298.163,7679.684,0
15,7244.816,224.962,284.367,7754.145,0
16,7195.190,189.398,286.669,7671.258,0
17,7213.681,180.050,289.842,7683.574,0
18,7176.300,204.016,302.287,7682.603,0
19,7184.739,208.424,285.702,7678.866,0
20,7215.903,214.497,299.641,7730.042,0
21,7234.174,201.949,293.011,7729.135,0
22,7246.251,206.925,302.923,7756.100,0
23,7245.705,204.778,290.190,7740.674,0
24,7249.358,187.603,295.645,7732.608,0
25,7248.335,210.312,292.571,7751.219,0
26,7263.939,198.379,304.323,7766.642,0
27,7176.824,203.122,298.316,7678.263,0
28,7245.361,215.036,297.054,7757.452,0
29,7260.038,195.419,284.810,7740.269,0
30,7238.381,187.574,310.476,7736.432,0
31,7251.622,197.514,301.708,7750.844,0
32,7211.622,202.968,291.928,7706.519,0
33,7158.464,203.157,303.606,7665.228,0
34,7229.915,224.500,290.841,7745.257,0
35,7190.540,197.204,300.675,7688.419,0
36,7245.321,216.872,302.649,7764.844,0
37,7248.684,220.166,306.336,7775.188,0
38,7170.061,197.983,327.928,7695.973,0
39,7234.603,209.970,294.327,7738.901,0
