i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,2487.035,216.995,266.474,2970.506,0
1,2483.919,208.825,269.616,2962.360,0
2,2389.206,209.618,275.261,2874.087,0
3,2503.969,215.441,270.102,2989.513,0
4,2465.888,199.718,289.535,2955.142,0
5,2479.853,206.584,268.929,2955.367,0
6,2513.870,203.852,282.887,3000.611,0
7,2508.574,207.938,266.102,2982.615,0
8,2509.388,212.558,269.371,2991.318,0
9,2434.975,202.392,301.529,2938.898,0
10,2498.436,215.903,267.879,2982.219,0
11,2489.786,209.990,298.487,2998.264,0
12,2482.161,202.850,274.169,2959.181,0
13,2480.522,223.202,286.150,2989.876,0
14,2503.489,188.344,275.263,2967.097,0
15,2481.170,211.194,264.225,2956.589,0
16,2403.988,214.618,283.291,2901.898,0
17,2491.632,206.459,290.405,2988.497,0
18,2482.705,221.260,281.877,2985.843,0
19,2476.273,209.715,273.970,2959.959,0
20,2397.708,203.836,267.012,2868.557,0
21,2487.633,211.346,276.061,2975.042,0
22,2500.104,203.300,279.300,2982.706,0
23,2480.856,207.549,298.520,2986.925,0
24,2492.781,201.766,269.114,2963.662,0
25,2475.694,211.264,280.376,2967.335,0
26,2394.017,201.568,285.665,2881.251,0
27,2515.876,211.168,286.407,3013.453,0
28,2508.567,206.006,281.484,2996.058,0
29,2506.303,221.019,276.992,3004.315,0
30,2494.943,216.943,265.772,2977.659,0
31,2501.894,200.860,292.211,2994.966,0
32,2500.877,207.337,293.373,3001.588,0
33,2504.262,205.561,276.850,2986.674,0
34,2495.379,208.100,284.956,2988.435,0
35,2419.390,208.966,274.420,2902.776,0
36,2482.362,220.073,291.496,2993.931,0
37,2412.786,206.886,282.382,2902.055,0
38,2488.476,212.397,272.827,2973.701,0
39,2495.676,210.982,278.923,2985.582,0
40,2507.665,199.462,290.318,2997.446,0
41,2483.432,212.094,286.145,2981.672,0
42,2501.885,205.876,283.406,2991.168,0
43,2488.182,208.925,299.236,2996.344,0
44,2488.107,188.831,271.261,2948.201,0
45,2526.415,225.773,281.682,3033.872,0
46,2479.340,210.667,269.156,2959.165,0
47,2410.052,205.866,278.883,2894.802,0
48,2478.437,207.439,261.789,2947.667,0
49,2403.745,206.748,290.698,2901.192,0
50,2485.198,197.768,292.421,2975.388,0
51,2399.328,208.113,281.139,2888.580,0
52,2488.845,191.248,283.745,2963.840,0
53,2487.090,213.836,285.299,2986.226,0
54,2398.519,204.208,282.309,2885.037,0
55,2487.536,199.644,287.763,2974.945,0
56,2479.393,193.112,276.147,2948.653,0
57,2468.576,203.530,270.328,2942.435,0
58,2483.413,215.284,277.004,2975.702,0
59,2421.925,191.314,269.883,2883.123,0
60,2439.059,207.185,283.444,2929.688,0
61,2487.306,190.854,280.478,2958.639,0
62,2493.440,191.891,278.822,2964.155,0
63,2453.042,206.751,266.919,2926.713,0
64,2389.138,191.082,278.138,2858.359,0
65,2480.635,186.791,289.493,2956.920,0
66,2464.769,190.713,278.941,2934.424,0
67,2474.406,201.312,266.784,2942.503,0
68,2477.405,186.707,278.692,2942.805,0
69,2482.637,202.515,278.538,2963.692,0
70,2491.647,209.872,288.487,2990.007,0
71,2473.567,203.252,270.719,2947.538,0
72,2478.105,199.626,271.828,2949.559,0
73,2490.197,196.700,295.464,2982.362,0
74,2468.600,202.995,277.180,2948.776,0
75,2417.861,200.461,276.047,2894.370,0
76,2482.780,187.407,287.340,2957.528,0
77,2489.000,203.051,269.392,2961.444,0
78,2382.976,189.622,300.843,2873.442,0
79,2466.333,201.780,296.340,2964.453,0
80,2469.220,196.215,283.184,2948.620,0
81,2491.037,202.579,280.705,2974.321,0
82,2487.289,187.195,279.632,2954.117,0
83,2448.939,188.880,283.119,2920.939,0
84,2470.584,196.092,285.823,2952.500,0
85,2469.916,197.970,289.546,2957.433,0
86,2473.849,210.716,279.953,2964.519,0
87,2483.727,202.502,284.037,2970.267,0
88,2462.820,187.609,286.714,2937.144,0
89,2393.752,205.091,278.805,2877.648,0
90,2483.471,201.106,287.205,2971.782,0
91,2480.377,211.085,279.110,2970.573,0
92,2465.614,198.092,293.345,2957.052,0
93,2452.481,197.584,274.530,2924.597,0
94,2485.143,197.478,273.151,2955.772,0
95,2395.067,208.066,285.491,2888.624,0
96,2401.101,208.451,290.283,2899.836,0
97,2491.631,205.390,272.431,2969.453,0
98,2482.703,204.219,295.337,2982.260,0
99,2486.537,189.294,285.351,2961.184,0
