i,create_ms,first_exec_ms,destroy_ms,total_ms
0,2420.588,194.562,248.133,2863.284
1,2413.436,208.472,238.503,2860.412
2,2309.878,209.285,238.919,2758.083
3,2394.247,212.115,237.461,2843.824
4,2392.344,200.558,262.000,2854.903
5,2390.633,209.432,258.847,2858.913
6,2395.255,211.630,252.011,2858.897
7,2387.862,215.865,247.309,2851.037
8,2405.275,210.275,255.353,2870.904
9,2398.419,217.140,263.078,2878.638
10,2369.742,195.253,265.778,2830.774
11,2394.484,202.269,256.404,2853.158
12,2401.605,200.805,246.082,2848.492
13,2416.507,207.323,243.674,2867.506
14,2402.868,213.690,271.370,2887.929
15,2393.317,203.351,258.935,2855.604
16,2415.921,200.037,255.370,2871.330
17,2403.303,186.190,266.914,2856.408
18,2369.243,190.286,256.827,2816.357
19,2388.322,206.900,253.263,2848.486
20,2402.077,206.041,254.107,2862.226
21,2359.446,207.892,239.869,2807.207
22,2410.146,204.523,271.520,2886.190
23,2407.622,195.912,252.063,2855.598
24,2378.030,211.587,244.856,2834.475
25,2388.413,213.512,266.271,2868.197
26,2402.663,197.156,274.835,2874.654
27,2387.818,190.175,254.120,2832.114
28,2306.412,208.533,263.005,2777.951
29,2308.494,201.159,238.799,2748.453
30,2414.350,213.503,256.826,2884.681
31,2383.418,193.614,261.865,2838.899
32,2417.171,202.114,244.359,2863.646
33,2400.630,206.149,260.790,2867.570
34,2385.730,206.012,248.415,2840.158
35,2304.148,201.660,252.024,2757.833
36,2359.439,202.705,256.927,2819.072
37,2396.012,209.293,254.132,2859.437
38,2398.992,200.473,249.010,2848.476
39,2404.186,201.543,269.410,2875.140
40,2387.614,203.792,279.851,2871.259
41,2394.546,209.898,283.282,2887.726
42,2390.717,207.536,259.783,2858.037
43,2398.501,189.244,248.802,2836.548
44,2301.237,183.448,246.845,2731.531
45,2391.920,182.078,261.654,2835.652
46,2308.204,196.584,257.639,2762.428
47,2386.539,215.396,260.899,2862.835
48,2407.755,215.625,253.308,2876.689
49,2323.752,203.920,248.615,2776.289
50,2388.520,204.285,255.582,2848.388
51,2317.768,211.882,260.708,2790.358
52,2408.248,202.139,279.182,2889.569
53,2380.464,197.890,251.979,2830.334
54,2382.395,211.739,275.845,2869.980
55,2411.471,207.250,271.352,2890.074
56,2317.655,207.740,254.323,2779.719
57,2435.179,188.211,259.740,2883.131
58,2422.506,196.951,248.126,2867.584
59,2360.806,200.293,292.503,2853.604
60,2364.924,190.343,564.808,3120.076
61,2438.845,218.334,924.174,3581.354
62,2435.405,202.517,269.986,2907.909
63,2483.121,201.805,539.575,3224.503
64,2379.968,206.922,288.887,2875.778
65,2493.643,209.674,559.518,3262.835
66,2433.726,205.830,555.670,3195.227
67,2470.170,199.524,544.182,3213.877
68,2457.070,203.042,302.306,2962.419
69,2427.227,221.453,557.666,3206.347
70,2441.279,215.913,540.647,3197.840
71,2465.117,214.383,556.935,3236.437
72,2411.518,199.488,544.651,3155.659
73,2373.073,207.824,571.829,3152.727
74,2404.987,192.835,597.689,3195.511
75,2357.926,182.220,539.653,3079.800
76,2450.606,213.740,563.328,3227.675
77,2395.378,195.772,278.716,2869.867
78,2342.911,210.469,269.481,2822.862
79,2306.474,202.318,268.707,2777.500
80,2382.171,195.991,265.969,2844.132
81,2378.802,202.727,264.238,2845.767
82,2387.263,198.066,277.758,2863.088
83,2386.780,196.212,274.162,2857.155
84,2288.871,189.712,274.417,2753.001
85,2300.016,199.816,293.940,2793.773
86,2279.371,200.285,268.122,2747.779
87,2304.818,198.121,267.271,2770.211
88,2384.655,182.620,277.928,2845.204
89,2378.539,199.731,263.267,2841.538
90,2363.713,203.292,272.689,2839.694
91,2308.655,217.710,272.740,2799.106
92,2356.174,200.366,237.338,2793.879
93,2293.718,195.401,242.096,2731.217
94,2369.238,183.414,236.578,2789.231
95,2379.638,190.413,240.060,2810.112
96,2377.153,202.514,229.723,2809.390
97,2376.036,199.035,252.104,2827.176
98,2331.686,204.953,239.117,2775.757
99,2369.957,207.439,232.412,2809.810
