i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,2348.195,199.262,269.873,2817.331,0
1,2351.588,179.921,270.470,2801.980,0
2,2333.582,189.664,289.352,2812.599,0
3,2347.416,197.419,295.481,2840.317,0
4,2336.457,196.937,293.314,2826.708,0
5,2345.979,197.424,291.811,2835.215,0
6,2255.483,201.334,271.785,2728.603,0
7,2360.621,185.616,292.233,2838.471,0
8,2340.536,189.064,293.372,2822.974,0
9,2327.758,199.967,274.835,2802.561,0
10,2361.447,197.870,268.454,2827.773,0
11,2274.079,189.049,268.154,2731.283,0
12,2359.019,189.122,280.469,2828.611,0
13,2267.196,201.603,274.585,2743.386,0
14,2363.154,200.197,286.500,2849.852,0
15,2353.159,191.619,275.094,2819.873,0
16,2337.197,200.356,283.651,2821.205,0
17,2357.505,183.907,297.199,2838.612,0
18,2343.998,190.133,296.193,2830.324,0
19,2274.183,179.474,285.749,2739.407,0
20,2330.610,181.706,298.635,2810.953,0
21,2310.412,182.166,283.986,2776.565,0
22,2357.443,187.129,293.052,2837.625,0
23,2251.065,184.962,273.715,2709.743,0
24,2257.511,198.231,293.746,2749.489,0
25,2266.320,181.953,283.683,2731.957,0
26,2367.416,186.305,285.679,2839.400,0
27,2345.146,181.594,273.520,2800.261,0
28,2344.008,193.820,296.797,2834.626,0
29,2276.125,196.703,276.005,2748.834,0
30,2335.132,187.217,286.398,2808.748,0
31,2326.160,192.047,276.893,2795.101,0
32,2274.069,188.128,285.392,2747.589,0
33,2345.814,194.435,293.080,2833.330,0
34,2336.255,187.105,265.497,2788.858,0
35,2333.073,187.418,289.763,2810.255,0
36,2265.666,180.109,293.973,2739.748,0
37,2353.889,175.804,294.718,2824.412,0
38,2354.932,188.315,297.468,2840.716,0
39,2368.833,196.499,276.063,2841.395,0
40,2357.157,178.043,287.328,2822.530,0
41,2360.138,200.105,276.188,2836.433,0
42,2343.463,199.882,284.763,2828.109,0
43,2362.626,188.544,290.618,2841.790,0
44,2348.042,184.912,290.148,2823.103,0
45,2354.928,178.086,285.377,2818.392,0
46,2257.892,187.854,274.709,2720.456,0
47,2264.731,192.486,287.517,2744.734,0
48,2261.016,190.260,278.171,2729.447,0
49,2343.444,183.091,293.090,2819.625,0
50,2347.555,189.905,285.720,2823.181,0
51,2355.945,190.887,296.525,2843.358,0
52,2264.490,187.650,286.640,2738.780,0
53,2351.272,190.883,307.076,2849.232,0
54,2366.933,176.775,277.729,2821.437,0
55,2362.841,185.146,282.860,2830.849,0
56,2352.302,178.394,293.824,2824.520,0
57,2254.801,183.177,276.135,2714.113,0
58,2271.822,185.967,269.086,2726.876,0
59,2353.979,184.793,294.552,2833.325,0
60,2354.281,195.425,292.059,2841.766,0
61,2341.696,183.003,285.966,2810.666,0
62,2335.814,200.267,288.943,2825.026,0
63,2256.030,190.509,288.598,2735.138,0
64,2339.847,197.478,293.738,2831.064,0
65,2368.334,188.246,276.964,2833.545,0
66,2260.141,190.373,259.544,2710.060,0
67,2357.682,185.054,309.524,2852.261,0
68,2247.347,198.643,278.638,2724.628,0
69,2359.934,195.331,292.111,2847.377,0
70,2334.134,184.263,307.316,2825.714,0
71,2298.354,174.372,282.868,2755.595,0
72,2346.462,192.480,298.801,2837.744,0
73,2316.956,180.320,310.780,2808.057,0
74,2265.667,186.935,285.430,2738.033,0
75,2348.593,192.356,286.112,2827.063,0
76,2306.176,190.936,289.192,2786.305,0
77,2245.212,188.013,300.192,2733.417,0
78,2339.262,182.220,292.310,2813.793,0
79,2295.556,189.373,293.537,2778.467,0
80,2338.512,185.294,285.447,2809.254,0
81,2239.139,188.433,276.649,2704.221,0
82,2327.953,187.601,297.706,2813.261,0
83,2368.195,184.533,290.069,2842.798,0
84,2337.731,178.268,282.570,2798.571,0
85,2344.048,179.319,289.115,2812.483,0
86,2350.762,194.391,297.384,2842.538,0
87,2342.340,185.329,315.348,2843.018,0
88,2312.946,182.633,274.905,2770.484,0
89,2337.698,181.547,304.385,2823.630,0
90,2348.541,190.567,278.999,2818.109,0
91,2341.571,172.610,308.795,2822.978,0
92,2257.116,194.818,270.174,2722.109,0
93,2254.769,184.595,288.120,2727.484,0
94,2343.159,187.677,286.745,2817.582,0
95,2319.095,182.085,279.037,2780.218,0
96,2240.351,182.879,279.477,2702.707,0
97,2365.735,193.797,288.412,2847.944,0
98,2337.501,176.316,279.618,2793.435,0
99,2346.534,194.010,281.835,2822.381,0
