i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,12642.083,34.067,1069.086,13745.236,0
1,6545.649,34.909,1066.062,7646.620,0
2,6462.909,33.713,1061.405,7558.028,0
3,6527.788,35.236,1067.499,7630.522,0
4,6524.307,35.297,1054.018,7613.621,0
5,6546.910,37.730,977.332,7561.972,0
6,6458.522,31.532,1077.267,7567.321,0
7,6475.340,35.229,1050.856,7561.425,0
8,6530.300,34.231,1059.190,7623.721,0
9,6601.889,40.228,1065.084,7707.201,0
10,6519.506,33.925,1056.910,7610.341,0
11,6449.784,34.884,1063.831,7548.499,0
12,6457.916,38.639,1062.372,7558.928,0
13,6533.744,35.868,1108.471,7678.082,0
14,6489.832,35.709,1049.406,7574.947,0
15,6523.989,36.527,1076.862,7637.378,0
16,6458.342,34.661,1077.401,7570.403,0
17,6523.365,35.463,1068.029,7626.858,0
18,6525.413,36.175,1077.423,7639.011,0
19,6532.827,34.048,1065.811,7632.687,0
20,6531.212,35.031,1058.792,7625.035,0
21,6524.225,33.845,1071.102,7629.171,0
22,6560.662,35.068,1075.335,7671.064,0
23,6530.461,39.943,1065.816,7636.220,0
24,6457.280,36.005,1064.290,7557.575,0
25,6473.662,34.509,1072.959,7581.131,0
26,6536.644,36.120,1060.347,7633.111,0
27,6517.388,35.456,1064.367,7617.211,0
28,6526.844,37.328,1066.257,7630.429,0
29,6472.132,33.816,1071.251,7577.199,0
30,6412.270,38.792,1081.023,7532.085,0
31,6463.334,36.049,1067.824,7567.206,0
32,6516.967,34.348,1067.023,7618.338,0
33,6402.620,34.848,1069.087,7506.555,0
34,6462.622,35.087,1067.234,7564.943,0
35,6449.444,33.871,1069.971,7553.286,0
36,6473.276,35.838,1084.172,7593.287,0
37,6579.609,34.957,1070.536,7685.102,0
38,6481.261,38.420,959.920,7479.600,0
39,6457.295,37.997,1075.463,7570.755,0
40,6398.536,34.184,1064.969,7497.688,0
41,6464.911,34.827,1069.499,7569.237,0
42,6389.192,38.012,1058.918,7486.122,0
43,6458.347,32.552,1061.093,7551.992,0
44,6454.719,35.005,947.736,7437.461,0
45,6525.785,33.872,1057.253,7616.910,0
46,6460.297,35.853,1063.406,7559.557,0
47,6477.303,34.728,1068.100,7580.131,0
48,6464.507,39.059,1058.568,7562.133,0
49,6452.335,34.962,1061.007,7548.304,0
50,6441.377,42.270,1069.663,7553.310,0
51,6520.726,36.113,1060.956,7617.795,0
52,6460.032,34.502,1054.255,7548.790,0
53,6527.370,39.783,1080.828,7647.981,0
54,6458.338,34.622,1070.363,7563.323,0
55,6488.908,34.003,1078.458,7601.369,0
56,6445.862,34.451,1068.625,7548.938,0
57,6403.410,34.556,1073.694,7511.660,0
58,6397.129,33.540,1083.266,7513.936,0
59,6462.067,40.139,1059.496,7561.702,0
60,6523.334,34.392,1063.678,7621.404,0
61,6469.707,35.299,1076.423,7581.429,0
62,6465.742,34.134,1064.024,7563.900,0
63,6545.889,36.511,1105.756,7688.156,0
64,6466.248,35.035,1070.809,7572.092,0
65,6395.756,39.722,1069.141,7504.619,0
66,6386.850,37.048,1066.081,7489.980,0
67,6457.076,35.069,1051.174,7543.319,0
68,6465.925,34.697,1061.628,7562.250,0
69,6508.151,36.029,1081.179,7625.358,0
70,6460.712,34.770,1057.355,7552.837,0
71,6536.227,34.749,1072.907,7643.883,0
72,6458.041,36.220,1058.818,7553.079,0
73,6426.899,36.074,1081.747,7544.719,0
74,6393.101,36.938,1060.889,7490.928,0
75,6379.371,34.346,1058.276,7471.992,0
76,6527.525,33.088,923.477,7484.090,0
77,6472.694,34.622,1084.926,7592.241,0
78,6453.961,34.617,1057.861,7546.440,0
79,6523.226,36.048,947.240,7506.514,0
80,6480.420,35.002,1068.910,7584.332,0
81,6526.053,34.590,1082.488,7643.131,0
82,6523.995,35.041,1082.852,7641.888,0
83,6531.820,35.523,1058.023,7625.365,0
84,6527.527,35.014,1064.273,7626.814,0
85,6474.485,35.135,1084.974,7594.594,0
86,6456.199,34.592,1061.377,7552.168,0
87,6528.893,35.094,1063.035,7627.022,0
88,6539.750,35.383,1083.788,7658.921,0
89,6472.100,34.380,1072.007,7578.487,0
90,6443.532,33.976,1054.059,7531.567,0
91,6458.747,35.899,1052.249,7546.895,0
92,6508.745,38.504,1070.641,7617.890,0
93,6461.037,34.824,1077.668,7573.530,0
94,6462.436,36.779,1062.408,7561.623,0
95,6531.292,34.498,1072.856,7638.645,0
96,6604.322,35.216,1080.453,7719.991,0
97,6539.535,38.920,1084.948,7663.403,0
98,6535.505,34.307,1066.277,7636.088,0
99,6605.472,35.389,1066.581,7707.443,0
