i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,179.403,93.169,99.413,371.986,0
1,181.959,97.813,103.199,382.972,0
2,171.474,94.209,112.508,378.192,0
3,167.540,93.517,100.506,361.564,0
4,173.697,93.217,106.519,373.434,0
5,179.118,99.187,103.550,381.856,0
6,175.237,94.700,113.018,382.957,0
7,168.193,96.881,104.823,369.898,0
8,180.615,95.410,99.131,375.157,0
9,169.951,92.237,96.291,358.480,0
10,172.044,94.794,112.775,379.614,0
11,174.966,96.548,101.874,373.389,0
12,166.449,92.571,105.109,364.129,0
13,173.757,91.827,113.339,378.924,0
14,170.535,96.741,109.846,377.123,0
15,172.725,97.635,107.872,378.233,0
16,181.695,94.046,95.625,371.367,0
17,173.144,96.584,100.308,370.038,0
18,176.930,96.064,108.026,381.022,0
19,173.750,99.505,108.043,381.299,0
20,176.547,95.930,107.861,380.339,0
21,173.078,94.535,99.921,367.535,0
22,173.893,93.788,112.493,380.176,0
23,172.212,99.023,110.136,381.372,0
24,176.891,93.529,102.317,372.738,0
25,171.587,91.103,109.602,372.293,0
26,172.004,95.890,103.893,371.788,0
27,179.265,96.310,112.446,388.023,0
28,167.453,96.621,99.650,363.725,0
29,182.850,96.071,101.627,380.549,0
30,172.292,94.144,106.122,372.559,0
31,167.810,99.832,112.890,380.534,0
32,180.990,96.257,99.837,377.085,0
33,168.150,93.165,105.258,366.574,0
34,176.062,94.730,113.705,384.498,0
35,170.657,93.460,102.979,367.097,0
36,172.619,93.605,103.948,370.172,0
37,174.780,93.743,98.624,367.148,0
38,169.901,96.551,94.110,360.563,0
39,166.883,94.875,108.746,370.505,0
40,175.713,94.023,99.600,369.337,0
41,186.974,94.486,110.688,392.149,0
42,177.864,98.661,109.853,386.379,0
43,175.566,94.834,93.716,364.117,0
44,176.385,94.547,102.933,373.867,0
45,178.309,93.949,101.252,373.511,0
46,173.545,96.380,107.528,377.454,0
47,174.460,97.705,107.422,379.588,0
48,177.615,97.601,97.462,372.679,0
49,170.596,98.179,99.183,367.959,0
50,181.620,97.904,117.645,397.170,0
51,181.015,97.365,103.782,382.164,0
52,170.026,93.029,105.252,368.308,0
53,188.119,95.190,108.226,391.536,0
54,178.343,98.194,100.149,376.687,0
55,174.724,98.021,109.313,382.059,0
56,183.468,93.327,107.326,384.122,0
57,184.411,91.439,99.718,375.569,0
58,168.019,93.535,108.890,370.445,0
59,173.957,94.660,101.936,370.555,0
60,168.238,92.274,107.625,368.137,0
61,167.581,94.399,103.407,365.388,0
62,167.963,96.366,102.207,366.537,0
63,169.585,96.668,115.015,381.268,0
64,174.460,94.719,101.960,371.141,0
65,177.051,97.392,101.021,375.465,0
66,171.857,96.152,107.792,375.802,0
67,173.262,95.446,109.260,377.969,0
68,185.175,93.642,101.789,380.607,0
69,178.860,93.521,112.512,384.894,0
70,167.574,97.630,101.453,366.658,0
71,169.331,95.830,112.558,377.720,0
72,178.390,99.135,107.176,384.701,0
73,177.318,92.083,107.146,376.548,0
74,180.190,93.653,108.899,382.742,0
75,171.147,93.652,98.757,363.557,0
76,175.787,92.957,101.426,370.171,0
77,187.796,94.568,107.509,389.875,0
78,170.563,95.989,108.619,375.172,0
79,176.200,97.597,101.877,375.676,0
80,171.315,96.629,109.288,377.232,0
81,171.063,93.335,105.007,369.405,0
82,183.969,97.807,113.862,395.640,0
83,171.762,100.944,103.214,375.920,0
84,172.545,93.784,103.696,370.026,0
85,177.104,93.789,106.234,377.129,0
86,172.670,96.979,106.417,376.067,0
87,178.476,95.247,99.420,373.144,0
88,178.119,96.203,110.710,385.033,0
89,176.529,92.804,108.700,378.035,0
90,177.394,95.441,107.334,380.170,0
91,177.867,98.051,120.312,396.231,0
92,165.660,92.089,113.111,370.860,0
93,181.473,95.887,105.129,382.490,0
94,174.210,96.939,108.986,380.135,0
95,175.606,95.944,106.598,378.149,0
96,180.719,96.431,110.393,387.544,0
97,169.444,94.540,108.013,371.998,0
98,182.546,98.867,94.570,375.984,0
99,170.074,98.060,112.840,380.975,0
100,163.897,95.386,103.754,363.038,0
101,189.047,95.050,100.096,384.194,0
102,181.734,96.354,96.315,374.404,0
103,185.342,95.668,104.075,385.086,0
104,174.425,92.622,107.536,374.584,0
105,165.726,94.841,119.376,379.944,0
106,182.680,93.145,97.477,373.303,0
107,177.951,98.742,108.307,385.001,0
108,162.777,93.678,108.447,364.904,0
109,192.566,95.359,113.315,401.241,0
110,171.040,95.253,105.765,372.060,0
111,173.569,94.581,107.522,375.673,0
112,173.789,93.707,102.170,369.668,0
113,170.673,95.419,109.171,375.264,0
114,180.847,95.763,106.804,383.414,0
115,174.455,94.924,105.295,374.675,0
116,167.021,97.891,99.367,364.280,0
117,179.025,95.609,98.645,373.280,0
118,185.205,96.294,111.173,392.672,0
119,174.808,97.066,110.978,382.853,0
120,176.980,96.551,102.689,376.221,0
121,175.383,98.016,105.146,378.545,0
122,187.175,92.656,109.309,389.142,0
123,182.918,95.936,107.159,386.014,0
124,188.481,95.693,104.304,388.479,0
125,173.880,94.945,100.309,369.135,0
126,174.181,96.836,105.990,377.009,0
127,182.589,97.479,106.653,386.722,0
128,182.349,99.126,108.866,390.341,0
129,167.932,94.050,107.142,369.125,0
130,172.764,93.808,102.585,369.158,0
131,169.360,96.637,114.878,380.875,0
132,170.587,98.206,109.718,378.512,0
133,180.969,97.561,108.149,386.681,0
134,172.455,96.226,109.699,378.381,0
135,175.080,94.677,98.231,367.990,0
136,172.826,99.423,114.804,387.054,0
137,168.077,94.580,117.128,379.786,0
138,171.574,100.572,104.557,376.704,0
139,174.634,94.026,103.148,371.808,0
140,171.512,94.599,98.715,364.828,0
141,183.027,92.565,110.373,385.967,0
142,172.710,95.855,102.341,370.906,0
143,182.109,96.604,106.190,384.904,0
144,172.504,94.156,114.368,381.028,0
145,171.214,103.775,110.266,385.255,0
146,174.184,96.709,107.915,378.809,0
147,176.351,96.071,118.767,391.191,0
148,178.957,96.090,111.994,387.042,0
149,173.527,94.705,103.216,371.449,0
150,176.176,97.901,115.777,389.855,0
151,172.571,94.551,98.706,365.828,0
152,188.306,97.076,110.276,395.659,0
153,168.907,93.289,114.346,376.544,0
154,174.759,93.185,99.541,367.486,0
155,175.817,98.627,112.751,387.196,0
156,169.843,93.893,113.182,376.920,0
157,175.046,96.989,117.055,389.091,0
158,174.759,95.541,119.748,390.049,0
159,177.977,97.072,105.750,380.800,0
160,174.900,94.878,109.419,379.197,0
161,180.988,101.247,112.850,395.085,0
162,179.319,93.955,105.775,379.050,0
163,176.270,90.309,97.351,363.931,0
164,180.228,93.948,105.939,380.116,0
165,177.850,93.913,115.985,387.750,0
166,170.909,92.597,122.154,385.661,0
167,179.051,94.871,110.146,384.069,0
168,178.626,94.005,118.212,390.844,0
169,170.032,97.097,101.122,368.252,0
170,175.068,94.188,114.113,383.370,0
171,172.447,96.063,122.356,390.867,0
172,167.705,94.387,110.899,372.993,0
173,165.869,93.195,98.879,357.944,0
174,183.195,94.617,108.775,386.587,0
175,169.449,95.347,103.217,368.014,0
176,169.542,98.542,108.785,376.870,0
177,168.598,91.024,109.908,369.531,0
178,181.523,94.836,108.164,384.524,0
179,163.365,97.351,111.388,372.105,0
180,184.064,94.207,100.883,379.155,0
181,184.651,96.612,101.104,382.367,0
182,175.601,94.970,112.548,383.121,0
183,180.960,95.161,108.615,384.737,0
184,166.655,94.353,107.242,368.251,0
185,177.311,95.194,101.896,374.402,0
186,180.117,94.833,104.238,379.189,0
187,174.541,94.346,113.466,382.354,0
188,177.020,97.119,113.125,387.265,0
189,180.369,91.375,114.459,386.204,0
190,181.739,95.391,114.157,391.288,0
191,172.809,97.341,103.140,373.292,0
192,178.850,95.509,101.688,376.047,0
193,177.172,96.684,117.363,391.220,0
194,173.162,99.503,97.645,370.311,0
195,175.439,95.498,117.523,388.460,0
196,202.711,95.855,110.670,409.237,0
197,181.075,92.464,110.344,383.883,0
198,188.613,99.657,110.048,398.318,0
199,177.282,97.861,116.417,391.561,0
