i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,156.019,81.698,68.773,306.491,0
1,168.298,83.489,64.089,315.876,0
2,158.200,82.443,70.478,311.123,0
3,156.517,79.531,63.819,299.867,0
4,150.606,83.588,65.995,300.190,0
5,156.455,84.328,67.647,308.430,0
6,152.828,87.471,70.361,310.661,0
7,162.162,80.700,65.783,308.646,0
8,164.164,82.940,69.577,316.682,0
9,158.050,82.428,63.635,304.114,0
10,155.861,81.444,63.576,300.882,0
11,159.452,84.827,66.222,310.502,0
12,154.232,79.084,70.543,303.859,0
13,160.791,77.502,66.973,305.267,0
14,167.431,79.834,66.547,313.813,0
15,152.097,78.887,61.585,292.570,0
16,153.649,83.239,68.916,305.806,0
17,162.156,84.121,63.874,310.152,0
18,156.561,84.131,63.553,304.246,0
19,154.465,81.300,64.870,300.636,0
20,150.848,83.318,68.495,302.663,0
21,162.096,81.225,67.949,311.272,0
22,168.898,81.188,62.136,312.223,0
23,146.460,84.739,62.754,293.954,0
24,161.427,80.477,69.523,311.428,0
25,148.998,81.982,63.258,294.239,0
26,149.708,80.099,65.459,295.267,0
27,156.079,82.235,66.328,304.643,0
28,159.824,84.636,64.623,309.085,0
29,164.351,81.121,62.484,307.957,0
30,151.243,83.241,69.052,303.537,0
31,153.824,82.676,67.431,303.932,0
32,148.051,79.019,69.324,296.396,0
33,157.601,82.754,67.384,307.739,0
34,154.514,81.692,67.318,303.526,0
35,149.446,83.230,69.342,302.019,0
36,148.396,80.943,64.696,294.037,0
37,154.576,81.039,66.373,301.989,0
38,154.160,80.885,67.273,302.319,0
39,153.281,81.822,62.264,297.368,0
40,150.835,80.918,67.776,299.530,0
41,163.118,80.356,71.156,314.631,0
42,158.537,80.850,63.624,303.012,0
43,158.208,80.409,68.649,307.266,0
44,157.081,78.692,64.364,300.138,0
45,153.196,78.480,62.571,294.247,0
46,154.489,82.136,64.309,300.935,0
47,160.482,85.501,71.855,317.839,0
48,151.976,82.719,65.768,300.463,0
49,163.124,83.994,63.428,310.547,0
50,159.507,81.949,70.373,311.830,0
51,156.815,80.291,63.654,300.762,0
52,154.073,79.772,62.109,295.955,0
53,160.727,87.487,67.627,315.841,0
54,158.676,81.932,73.107,313.716,0
55,155.667,82.925,64.263,302.856,0
56,155.818,79.185,72.426,307.430,0
57,167.439,81.766,67.470,316.675,0
58,146.424,81.486,64.041,291.952,0
59,148.267,82.042,64.781,295.091,0
60,151.389,79.858,70.876,302.123,0
61,160.619,83.755,66.751,311.126,0
62,151.380,81.280,64.393,297.054,0
63,158.858,87.412,67.722,313.993,0
64,154.626,80.117,68.732,303.477,0
65,153.562,80.357,68.170,302.090,0
66,157.029,80.877,68.746,306.653,0
67,164.825,83.379,66.396,314.600,0
68,150.813,80.388,71.860,303.062,0
69,154.949,78.437,64.886,298.273,0
70,156.264,81.501,64.931,302.698,0
71,148.983,83.200,63.166,295.351,0
72,153.744,85.743,68.587,308.075,0
73,151.852,80.471,65.492,297.816,0
74,165.236,80.537,67.197,312.970,0
75,149.979,82.956,66.687,299.623,0
76,157.805,81.325,68.755,307.887,0
77,165.729,80.947,64.527,311.203,0
78,147.983,81.074,65.800,294.857,0
79,150.178,82.375,71.323,303.878,0
80,168.418,85.821,62.016,316.256,0
81,157.936,82.460,68.223,308.620,0
82,151.676,79.929,67.952,299.558,0
83,154.411,79.763,65.476,299.650,0
84,146.397,78.178,67.044,291.619,0
85,158.093,78.258,69.995,306.346,0
86,153.644,80.498,64.720,298.863,0
87,159.803,79.936,66.982,306.723,0
88,149.189,78.746,63.355,291.290,0
89,153.425,79.398,75.013,307.837,0
90,165.623,81.718,62.755,310.097,0
91,148.945,81.769,64.313,295.028,0
92,152.779,82.119,61.291,296.190,0
93,174.549,80.677,67.392,322.619,0
94,150.570,80.115,69.370,300.056,0
95,151.531,81.933,66.027,299.491,0
96,158.975,82.203,68.755,309.935,0
97,155.187,79.927,65.712,300.826,0
98,162.783,79.781,66.543,309.108,0
99,151.313,83.337,66.817,301.468,0
100,158.669,79.245,63.218,301.133,0
101,151.439,78.583,66.514,296.536,0
102,150.909,79.477,62.809,293.196,0
103,160.547,81.142,64.729,306.419,0
104,153.409,79.012,61.372,293.794,0
105,150.836,77.539,67.109,295.485,0
106,30165.770,79.086,69.633,30314.490,0
107,159.088,81.368,65.564,306.022,0
108,147.569,80.658,69.237,297.465,0
109,146.634,79.021,69.783,295.438,0
110,159.050,78.828,65.112,302.991,0
