i,create_ms,first_exec_ms,destroy_ms,total_ms
0,202.067,85.488,76.319,363.875
1,209.681,82.754,67.793,360.229
2,193.771,84.008,66.111,343.891
3,211.690,81.117,67.796,360.605
4,202.858,85.057,68.158,356.074
5,206.003,87.930,71.448,365.382
6,217.333,85.583,69.788,372.704
7,203.956,84.687,69.205,357.849
8,210.227,82.947,76.099,369.275
9,216.824,84.509,72.326,373.661
10,200.338,88.873,67.734,356.946
11,201.469,85.864,69.171,356.504
12,208.171,82.555,70.538,361.266
13,209.449,87.478,68.907,365.834
14,200.020,87.762,68.553,356.337
15,211.927,85.252,75.958,373.137
16,219.991,84.764,69.038,373.794
17,211.142,82.332,68.172,361.647
18,203.581,83.734,70.142,357.458
19,199.953,83.323,71.194,354.471
20,214.937,86.968,64.844,366.750
21,201.910,82.628,69.218,353.757
22,199.794,85.128,72.491,357.414
23,209.103,86.342,71.826,367.272
24,200.818,84.883,69.632,355.334
25,210.121,83.864,68.807,362.793
26,197.097,83.407,66.480,346.985
27,200.463,84.958,69.766,355.188
28,202.606,83.292,61.888,347.787
29,196.081,82.555,68.887,347.523
30,199.236,83.800,70.858,353.895
31,198.486,83.811,62.850,345.148
32,189.813,83.634,62.015,335.463
33,193.335,83.907,61.346,338.588
34,208.021,94.335,66.980,369.336
35,188.976,82.726,69.526,341.229
36,196.159,81.117,64.699,341.976
37,197.932,82.860,65.614,346.407
38,195.175,84.457,62.607,342.241
39,198.148,86.452,70.806,355.407
40,198.349,88.170,70.136,356.656
41,206.534,86.422,66.767,359.723
42,192.341,87.533,69.734,349.608
43,207.260,82.813,69.744,359.818
44,208.941,82.581,64.388,355.911
45,200.212,82.708,66.311,349.232
46,195.321,84.719,74.413,354.454
47,203.026,83.239,65.524,351.790
48,199.878,85.080,69.924,354.883
49,197.538,84.003,74.757,356.299
50,198.656,84.488,69.590,352.735
51,200.786,84.853,70.839,356.478
52,196.838,83.552,67.328,347.719
53,198.300,84.916,67.248,350.464
54,214.363,86.669,69.699,370.732
55,201.312,82.758,74.252,358.323
56,204.632,89.122,69.532,363.288
57,203.792,87.352,74.526,365.671
58,199.141,87.248,70.139,356.529
59,208.339,83.356,72.148,363.843
60,204.541,86.440,70.259,361.241
61,193.845,85.502,66.472,345.820
62,198.727,83.189,66.399,348.316
63,202.427,82.939,68.677,354.044
64,197.491,82.876,67.657,348.025
65,202.622,83.817,64.007,350.448
66,195.527,84.128,69.459,349.116
67,193.126,83.103,63.999,340.229
68,206.900,82.548,63.300,352.749
69,198.715,84.769,69.901,353.386
70,201.342,82.692,68.065,352.101
71,203.099,82.494,68.855,354.449
72,208.585,83.381,66.453,358.419
73,210.482,88.231,66.375,365.089
74,208.218,85.187,67.101,360.507
75,198.269,85.038,67.819,351.127
76,199.348,85.576,68.340,353.265
77,193.174,85.011,68.566,346.752
78,201.722,85.790,64.556,352.069
79,202.729,83.460,66.312,352.503
80,203.166,84.078,67.216,354.461
81,189.269,85.964,63.531,338.765
82,206.191,82.153,74.706,363.051
83,213.864,86.675,73.686,374.226
84,207.421,87.405,64.306,359.133
85,208.944,84.876,71.224,365.045
86,203.850,85.299,69.302,358.452
87,193.903,85.184,71.885,350.973
88,201.152,81.644,63.820,346.617
89,194.716,83.529,65.832,344.078
90,198.871,83.279,71.936,354.088
91,211.119,86.436,67.977,365.533
92,209.314,91.900,68.846,370.061
93,193.750,86.784,74.455,354.991
94,201.407,83.032,71.041,355.481
95,201.929,85.585,65.556,353.071
96,205.292,84.876,60.939,351.108
97,201.276,82.981,63.056,347.314
98,195.341,85.256,67.658,348.257
99,205.523,85.207,67.843,358.574
100,206.561,84.814,65.662,357.039
101,196.418,86.078,64.491,346.988
102,225.539,83.783,62.996,372.319
103,201.544,83.870,62.706,348.121
104,196.867,82.571,67.845,347.284
105,201.868,82.957,65.085,349.910
106,201.828,84.544,65.691,352.064
107,199.206,85.232,69.783,354.222
108,203.825,82.838,69.072,355.736
109,197.578,82.269,67.916,347.763
110,199.245,86.797,69.541,355.583
111,198.283,83.288,65.673,347.245
112,213.395,82.495,71.303,367.194
113,207.171,83.063,62.748,352.982
114,196.425,86.785,65.902,349.114
115,197.232,83.029,67.395,347.656
116,203.502,83.187,63.460,350.150
117,194.432,85.991,77.975,358.400
118,212.134,88.419,74.060,374.615
119,211.825,83.801,69.191,364.819
120,202.198,83.771,71.776,357.746
121,188.528,84.072,64.166,336.766
122,212.234,83.990,68.029,364.253
123,208.166,82.865,67.067,358.100
124,187.760,87.683,68.625,344.069
125,204.185,83.481,62.083,349.750
126,191.474,84.437,70.355,346.267
127,196.655,85.584,63.694,345.933
128,209.233,82.500,67.183,358.916
129,197.360,81.743,63.960,343.064
130,201.992,81.930,64.462,348.385
131,201.877,82.738,71.152,355.768
132,214.531,81.770,63.894,360.196
133,198.705,80.981,66.694,346.381
134,201.599,84.640,69.007,355.248
135,198.026,82.245,70.024,350.296
136,202.068,84.241,62.525,348.835
137,203.317,85.210,62.924,351.452
138,194.985,84.570,64.371,343.928
139,196.397,83.469,69.532,349.399
140,195.096,81.629,68.524,345.250
141,199.759,85.282,65.598,350.640
142,220.103,80.919,67.092,368.116
143,191.373,86.158,72.484,350.016
144,196.440,85.271,68.341,350.052
145,198.144,84.105,68.213,350.464
146,196.459,84.315,67.285,348.060
147,213.731,83.947,73.187,370.865
148,208.721,82.622,70.684,362.028
149,199.834,84.869,71.880,356.585
150,205.204,80.925,66.518,352.649
151,199.717,82.463,67.702,349.883
152,225.384,88.701,63.297,377.383
153,199.338,83.023,61.913,344.275
154,200.912,84.752,65.918,351.583
155,200.790,82.762,65.451,349.003
156,202.996,82.862,67.161,353.021
157,196.957,83.319,68.088,348.365
158,194.419,84.344,68.002,346.766
159,203.448,81.025,63.742,348.215
160,203.743,83.810,64.136,351.690
161,194.563,83.941,65.627,344.131
162,198.161,84.174,77.099,359.436
163,198.014,80.952,65.510,344.477
164,200.224,81.386,66.740,348.351
165,194.389,81.592,60.225,336.208
166,199.146,82.893,62.715,344.755
167,192.684,85.438,65.781,343.904
168,190.865,84.724,63.202,338.792
169,195.012,85.447,61.713,342.173
170,203.702,80.674,64.050,348.426
171,195.636,83.671,64.624,343.932
172,197.109,87.245,63.083,347.438
173,219.383,83.247,63.463,366.095
174,198.112,86.848,61.323,346.285
175,194.441,85.472,68.493,348.407
176,204.524,81.299,63.781,349.606
177,198.736,81.153,66.963,346.853
178,198.071,84.656,65.210,347.938
179,209.011,85.730,68.964,363.706
180,203.966,85.295,63.387,352.648
181,204.492,83.998,63.911,352.402
182,204.416,83.565,68.698,356.680
183,203.276,85.794,64.367,353.438
184,213.083,84.643,70.632,368.359
185,206.075,83.829,64.620,354.524
186,203.348,85.186,64.622,353.157
187,198.984,84.826,67.820,351.630
188,203.704,86.396,67.772,357.873
189,201.867,82.739,62.129,346.736
190,200.698,84.906,67.881,353.486
191,195.705,87.427,61.388,344.521
192,201.536,82.586,66.512,350.635
193,201.647,83.713,72.117,357.479
194,199.455,85.780,67.261,352.498
195,192.488,82.595,70.425,345.509
196,196.556,86.927,63.720,347.204
197,208.589,84.812,62.311,355.714
198,209.731,84.251,64.218,358.200
199,201.801,81.262,62.474,345.538
