i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,136.542,77.834,103.976,318.353,0
1,136.970,76.137,96.279,309.388,0
2,128.590,75.277,95.878,299.746,0
3,140.240,76.440,90.408,307.088,0
4,140.410,77.618,99.534,317.563,0
5,139.777,76.432,99.013,315.223,0
6,133.291,78.178,95.238,306.708,0
7,144.895,75.024,88.969,308.889,0
8,134.457,75.087,95.735,305.280,0
9,132.302,75.259,100.119,307.681,0
10,135.687,75.993,99.799,311.481,0
11,139.079,75.377,92.539,306.996,0
12,137.247,77.113,94.368,308.728,0
13,136.122,75.612,91.430,303.165,0
14,139.525,76.032,93.420,308.978,0
15,129.648,77.044,93.372,300.064,0
16,134.044,78.262,97.129,309.436,0
17,137.558,77.522,94.444,309.525,0
18,136.979,76.483,101.697,315.161,0
19,133.635,76.347,92.598,302.581,0
20,135.741,79.523,96.642,311.907,0
21,138.409,76.392,100.207,315.009,0
22,134.530,76.987,94.661,306.178,0
23,142.823,75.714,94.967,313.504,0
24,131.827,74.020,101.006,306.854,0
25,131.725,77.971,101.680,311.376,0
26,140.027,77.967,96.739,314.734,0
27,139.751,79.047,94.411,313.210,0
28,130.943,76.108,99.328,306.380,0
29,141.485,77.083,92.264,310.833,0
30,138.301,78.280,102.308,318.891,0
31,140.939,76.420,100.270,317.630,0
32,142.005,77.591,91.917,311.515,0
33,136.425,75.831,95.066,307.323,0
34,147.627,76.708,93.624,317.960,0
35,139.535,76.467,105.427,321.430,0
36,135.955,77.461,97.095,310.512,0
37,136.099,76.737,93.967,306.805,0
38,140.905,77.089,97.327,315.322,0
39,145.565,76.293,96.107,317.966,0
40,137.924,76.371,99.606,313.902,0
41,141.926,77.998,102.827,322.753,0
42,139.278,76.775,90.760,306.813,0
43,135.274,75.681,96.539,307.495,0
44,132.521,75.782,100.089,308.393,0
45,134.785,76.926,94.089,305.801,0
46,135.421,78.476,98.197,312.095,0
47,139.086,75.705,100.218,315.009,0
48,140.181,75.434,98.404,314.021,0
49,140.158,76.161,98.605,314.926,0
50,134.314,77.268,93.935,305.518,0
51,131.926,77.009,108.497,317.433,0
52,133.906,76.891,97.329,308.126,0
53,139.144,75.215,105.695,320.055,0
54,137.208,74.810,96.605,308.625,0
55,144.007,76.018,98.609,318.635,0
56,139.700,77.609,100.605,317.916,0
57,134.857,80.096,103.060,318.014,0
58,137.720,76.467,95.793,309.981,0
59,137.097,77.133,96.964,311.195,0
60,138.136,77.473,99.687,315.297,0
61,143.166,77.789,96.357,317.312,0
62,139.951,80.014,99.079,319.046,0
63,140.175,78.541,105.011,323.727,0
64,144.939,78.720,91.684,315.343,0
65,143.894,80.103,96.731,320.730,0
66,138.182,76.985,94.113,309.280,0
67,143.285,76.879,93.236,313.401,0
68,135.722,77.641,97.518,310.882,0
69,140.611,76.870,103.704,321.185,0
70,144.849,76.377,103.487,324.713,0
71,135.689,78.629,90.112,304.431,0
72,137.120,78.107,89.870,305.098,0
73,137.432,76.670,93.873,307.975,0
74,139.159,75.737,95.492,310.389,0
75,133.167,76.546,96.054,305.769,0
76,136.250,78.219,104.123,318.593,0
77,139.823,78.417,99.014,317.256,0
78,139.589,77.031,99.603,316.224,0
79,139.422,77.684,97.436,314.543,0
80,139.775,78.640,102.474,320.891,0
81,142.437,78.429,94.489,315.357,0
82,134.242,77.103,96.252,307.598,0
83,135.517,79.953,93.424,308.895,0
84,150.335,76.714,94.623,321.672,0
85,136.166,76.517,98.360,311.044,0
86,137.451,77.319,95.589,310.360,0
87,134.280,77.018,93.148,304.448,0
88,138.432,79.957,99.945,318.336,0
89,141.844,79.398,104.864,326.107,0
90,146.520,78.154,94.186,318.862,0
91,136.853,79.504,92.442,308.799,0
92,135.394,78.281,105.050,318.727,0
93,137.049,77.409,94.586,309.044,0
94,133.152,74.486,93.855,301.494,0
95,127.679,76.925,99.694,304.298,0
96,139.962,77.863,96.324,314.150,0
97,131.050,76.055,93.352,300.459,0
98,131.922,76.093,96.345,304.361,0
99,134.807,76.150,102.809,313.767,0
