i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,146.351,65.996,79.987,292.335,0
1,145.140,64.223,77.641,287.005,0
2,147.591,66.188,90.150,303.930,0
3,150.682,64.578,81.057,296.318,0
4,146.572,67.202,81.376,295.151,0
5,145.106,64.033,72.148,281.289,0
6,141.244,64.452,82.142,287.839,0
7,150.806,63.676,82.966,297.449,0
8,149.257,64.903,81.669,295.831,0
9,144.977,65.613,83.009,293.600,0
10,144.008,63.976,78.767,286.752,0
11,142.609,63.934,77.894,284.438,0
12,143.957,64.234,78.104,286.296,0
13,142.583,64.444,79.460,286.488,0
14,144.513,65.781,87.427,297.722,0
15,146.450,65.351,75.564,287.366,0
16,146.857,64.415,79.102,290.375,0
17,146.174,65.414,85.237,296.826,0
18,145.354,64.302,74.770,284.426,0
19,151.628,65.499,81.736,298.864,0
20,144.497,65.821,84.635,294.953,0
21,140.569,64.865,78.980,284.415,0
22,147.585,66.895,81.755,296.236,0
23,143.952,67.554,76.666,288.172,0
24,147.893,66.251,80.696,294.842,0
25,146.848,64.769,80.937,292.555,0
26,145.778,65.890,81.820,293.489,0
27,144.758,67.272,74.276,286.307,0
28,149.503,68.765,79.205,297.474,0
29,140.862,65.301,82.115,288.279,0
30,151.294,66.891,88.812,306.998,0
31,149.826,66.246,81.680,297.753,0
32,146.033,64.843,82.822,293.699,0
33,147.163,63.924,81.308,292.395,0
34,144.375,65.915,86.740,297.032,0
35,149.347,65.269,74.253,288.870,0
36,145.010,64.545,84.654,294.210,0
37,154.434,65.695,85.691,305.822,0
38,151.679,64.861,82.776,299.317,0
39,141.235,65.664,80.315,287.215,0
40,139.905,65.460,84.171,289.537,0
41,148.080,65.661,84.459,298.201,0
42,141.905,63.679,76.300,281.885,0
43,146.781,64.947,73.870,285.598,0
44,146.407,64.131,82.001,292.541,0
45,148.561,65.622,81.182,295.366,0
46,143.474,64.667,82.713,290.856,0
47,144.097,64.264,82.747,291.110,0
48,140.179,63.129,81.924,285.233,0
49,144.870,64.286,76.690,285.847,0
50,141.478,65.558,81.436,288.473,0
51,144.855,63.681,77.013,285.551,0
52,144.701,66.964,83.317,294.983,0
53,142.218,64.901,77.921,285.040,0
54,148.659,64.962,84.606,298.228,0
55,144.872,64.956,79.167,288.996,0
56,143.277,65.378,78.811,287.467,0
57,146.435,65.235,79.987,291.658,0
58,147.671,65.277,87.747,300.696,0
59,142.971,65.948,82.282,291.202,0
60,143.000,64.527,75.431,282.958,0
61,144.285,63.930,77.321,285.537,0
62,144.083,64.500,79.420,288.004,0
63,142.875,67.594,77.989,288.459,0
64,147.702,64.938,81.321,293.962,0
65,149.313,68.810,77.227,295.351,0
66,146.651,64.385,77.126,288.163,0
67,142.244,63.947,81.093,287.285,0
68,147.522,63.893,80.670,292.086,0
69,147.578,65.859,80.279,293.717,0
70,141.924,65.682,88.286,295.893,0
71,144.951,65.419,81.396,291.768,0
72,142.505,65.579,80.845,288.930,0
73,145.821,63.539,81.877,291.239,0
74,144.415,67.272,77.959,289.646,0
75,144.999,65.585,83.742,294.327,0
76,152.566,65.031,79.612,297.210,0
77,145.930,65.065,81.901,292.897,0
78,144.838,64.145,82.111,291.095,0
79,145.242,65.029,84.610,294.882,0
80,149.276,65.268,80.110,294.655,0
81,152.701,65.520,82.378,300.600,0
82,144.612,67.049,86.628,298.290,0
83,146.596,63.827,76.150,286.574,0
84,146.275,67.827,81.117,295.221,0
85,141.536,65.453,83.808,290.798,0
86,144.141,66.147,88.569,298.859,0
87,150.234,65.055,80.852,296.142,0
88,144.503,64.541,84.125,293.170,0
89,151.417,69.266,79.216,299.899,0
90,145.460,64.870,80.413,290.744,0
91,141.683,66.416,76.794,284.895,0
92,146.493,64.994,86.696,298.184,0
93,152.037,64.830,85.903,302.771,0
94,144.464,65.768,78.161,288.394,0
95,145.678,67.051,75.090,287.820,0
96,147.387,65.468,84.479,297.335,0
97,150.719,67.967,79.204,297.891,0
98,147.200,67.239,93.211,307.651,0
99,162.630,71.987,84.399,319.017,0
