i,create_ms,first_exec_ms,destroy_ms,total_ms
0,205.892,67.803,87.207,360.904
1,178.343,68.064,78.515,324.923
2,173.715,65.953,85.959,325.628
3,177.252,67.857,82.468,327.578
4,179.282,67.911,80.690,327.885
5,175.942,68.958,76.364,321.266
6,181.134,69.878,81.800,332.812
7,175.654,69.783,80.812,326.251
8,178.525,65.663,82.964,327.153
9,177.405,67.739,89.657,334.803
10,178.622,66.189,80.236,325.048
11,175.544,69.117,82.579,327.241
12,177.080,67.610,83.021,327.712
13,176.289,66.845,74.986,318.121
14,178.836,69.204,78.551,326.592
15,181.667,68.654,84.710,335.032
16,185.979,65.564,80.099,331.643
17,173.536,67.087,82.315,322.939
18,183.143,67.837,82.094,333.075
19,178.246,66.388,79.356,323.991
20,180.186,68.031,74.492,322.710
21,172.796,69.403,84.718,326.918
22,183.566,66.618,79.736,329.921
23,178.949,69.721,76.945,325.617
24,179.627,68.316,87.241,335.185
25,196.605,66.659,84.755,348.019
26,183.399,66.458,81.567,331.425
27,178.257,67.506,87.895,333.659
28,182.091,68.297,89.329,339.718
29,173.161,67.031,88.567,328.761
30,175.672,68.442,74.000,318.115
31,181.476,67.916,85.031,334.425
32,176.206,67.010,79.454,322.670
33,177.323,67.085,80.112,324.521
34,173.420,65.975,81.449,320.845
35,178.991,67.693,76.410,323.096
36,174.583,68.005,77.292,319.881
37,183.737,66.974,89.039,339.752
38,179.818,69.763,79.336,328.918
39,185.005,68.556,85.631,339.193
40,181.634,67.042,80.306,328.982
41,178.415,66.967,86.459,331.842
42,172.874,68.434,84.315,325.624
43,179.359,67.072,80.719,327.152
44,181.820,67.726,80.116,329.663
45,178.922,67.667,86.303,332.893
46,186.740,66.516,79.152,332.409
47,176.703,67.581,79.653,323.937
48,179.489,67.215,80.866,327.571
49,185.857,66.289,79.116,331.263
50,181.112,69.040,80.765,330.919
51,172.238,66.039,83.344,321.621
52,184.038,68.153,81.026,333.218
53,178.721,66.471,81.368,326.561
54,178.220,66.930,86.966,332.117
55,184.983,66.893,78.078,329.955
56,178.784,68.499,81.989,329.273
57,177.735,67.620,89.279,334.634
58,182.007,67.541,76.624,326.172
59,176.344,67.255,84.126,327.726
60,181.540,69.089,80.488,331.118
61,179.928,66.114,79.535,325.578
62,183.654,67.597,81.744,332.996
63,180.732,66.990,83.163,330.886
64,178.436,67.129,78.721,324.287
65,175.086,66.572,78.759,320.417
66,176.370,65.425,81.917,323.714
67,176.930,67.131,84.758,328.820
68,177.743,68.107,80.550,326.401
69,190.455,67.130,80.975,338.562
70,176.500,66.339,78.668,321.507
71,173.150,66.639,84.321,324.111
72,184.060,66.750,76.922,327.733
73,174.340,66.888,77.313,318.542
74,176.490,67.908,87.995,332.393
75,177.453,67.138,83.554,328.146
76,177.864,66.402,85.765,330.032
77,176.767,65.663,84.548,326.979
78,174.649,68.277,76.481,319.409
79,173.389,65.053,83.067,321.511
80,179.084,69.180,79.961,328.226
81,181.036,65.326,80.154,326.517
82,175.461,66.367,86.327,328.156
83,178.838,67.187,83.698,329.724
84,186.232,69.172,78.082,333.487
85,179.781,66.952,88.173,334.906
86,185.087,68.657,80.821,334.565
87,185.876,68.058,80.481,334.415
88,177.822,68.753,85.015,331.590
89,178.988,69.189,74.798,322.976
90,183.334,68.641,82.810,334.786
91,177.734,67.192,81.249,326.176
92,184.426,68.180,78.348,330.955
93,175.828,67.932,78.300,322.061
94,188.074,68.456,84.450,340.980
95,178.427,65.969,87.763,332.159
96,181.548,67.004,83.256,331.809
97,172.257,67.345,82.785,322.388
98,185.206,66.999,83.379,335.585
99,176.562,67.016,83.145,326.724
