i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,197.625,105.369,131.359,434.354,0
1,198.718,95.293,116.353,410.365,0
2,195.715,98.676,118.836,413.229,0
3,187.898,95.156,116.142,399.197,0
4,195.215,99.106,109.205,403.527,0
5,187.689,95.461,120.460,403.611,0
6,197.001,99.363,124.542,420.907,0
7,196.605,99.313,108.355,404.273,0
8,206.350,94.578,106.572,407.501,0
9,197.129,97.248,117.575,411.954,0
10,188.369,93.583,112.618,394.571,0
11,219.087,98.647,122.842,440.577,0
12,202.087,99.231,116.490,417.809,0
13,204.618,101.465,129.848,435.932,0
14,202.837,97.898,118.170,418.907,0
15,199.972,99.787,123.433,423.193,0
16,197.894,95.646,123.620,417.161,0
17,201.124,98.969,117.676,417.770,0
18,205.282,100.857,127.434,433.574,0
19,194.617,105.880,123.080,423.578,0
20,201.085,100.774,129.199,431.060,0
21,202.826,101.234,119.349,423.410,0
22,200.221,102.303,122.154,424.678,0
23,197.730,99.576,110.253,407.561,0
24,197.227,99.856,124.272,421.355,0
25,214.045,96.998,117.659,428.704,0
26,195.283,100.634,116.825,412.743,0
27,213.938,99.578,125.673,439.189,0
28,198.618,95.690,116.753,411.062,0
29,197.852,98.168,114.919,410.940,0
30,202.738,95.969,129.604,428.312,0
31,202.906,102.914,119.026,424.848,0
32,194.883,97.495,113.189,405.568,0
33,199.993,98.844,113.056,411.894,0
34,199.517,104.053,132.603,436.174,0
35,198.466,104.177,113.815,416.459,0
36,205.030,105.757,119.629,430.416,0
37,211.985,101.574,119.205,432.765,0
38,202.572,100.881,125.839,429.294,0
39,197.032,105.100,116.612,418.745,0
40,194.171,104.182,118.980,417.333,0
41,190.974,94.947,118.722,404.644,0
42,193.901,95.637,113.943,403.482,0
43,198.186,101.134,122.556,421.877,0
44,204.311,102.558,118.382,425.252,0
45,185.869,96.286,117.075,399.231,0
46,198.892,104.910,116.182,419.985,0
47,202.130,99.166,116.786,418.083,0
48,202.456,101.131,123.839,427.427,0
49,209.594,98.391,114.783,422.769,0
50,205.775,100.190,118.322,424.288,0
51,197.153,103.220,121.714,422.088,0
52,209.635,95.342,133.625,438.603,0
53,204.773,101.113,118.668,424.555,0
54,202.170,100.284,115.523,417.978,0
55,201.847,105.262,125.747,432.857,0
56,212.044,100.768,116.089,428.902,0
57,192.544,101.418,115.265,409.228,0
58,206.034,102.254,122.553,430.842,0
59,200.863,102.297,117.539,420.700,0
60,201.593,101.117,117.327,420.039,0
61,205.796,97.827,115.915,419.538,0
62,203.917,101.204,120.621,425.743,0
63,201.103,102.342,113.960,417.405,0
64,192.312,98.465,116.404,407.182,0
65,203.822,97.347,122.964,424.134,0
66,199.114,99.574,115.858,414.547,0
67,206.717,103.616,114.837,425.170,0
68,208.685,95.140,109.886,413.711,0
69,193.565,97.722,120.089,411.377,0
70,204.127,99.182,115.290,418.599,0
71,213.035,100.902,118.233,432.172,0
72,203.333,97.705,119.106,420.145,0
73,201.579,96.462,119.451,417.493,0
74,194.830,101.730,132.515,429.076,0
75,213.314,99.139,116.681,429.134,0
76,202.501,99.193,122.672,424.367,0
77,215.402,96.841,119.932,432.175,0
78,191.729,94.057,115.748,401.535,0
79,218.431,94.666,124.311,437.409,0
80,214.252,99.097,118.984,432.334,0
81,208.621,98.526,113.897,421.046,0
82,205.121,102.737,111.719,419.579,0
83,187.225,94.194,131.246,412.667,0
84,214.469,100.338,143.337,458.144,0
85,200.872,101.712,140.978,443.563,0
86,225.276,120.765,122.678,468.720,0
87,208.965,95.367,119.232,423.565,0
88,204.995,101.889,117.227,424.112,0
89,204.977,101.852,120.304,427.134,0
90,205.886,95.361,134.674,435.922,0
91,201.846,104.027,123.671,429.545,0
92,196.436,97.472,115.779,409.688,0
93,204.595,99.203,120.964,424.763,0
94,199.261,98.492,120.688,418.442,0
95,198.908,98.978,127.405,425.292,0
96,203.263,99.085,125.503,427.852,0
97,194.365,103.261,119.300,416.928,0
98,207.468,95.723,109.543,412.735,0
99,195.385,92.078,118.007,405.472,0
100,195.355,101.245,115.350,411.952,0
101,214.415,99.260,123.872,437.548,0
102,200.508,101.171,122.823,424.502,0
103,212.909,104.931,127.898,445.738,0
104,202.698,100.646,114.426,417.772,0
105,200.454,99.822,118.357,418.634,0
106,201.008,99.623,118.815,419.446,0
107,207.375,103.304,131.381,442.061,0
108,201.360,98.032,117.424,416.817,0
109,190.229,100.899,121.921,413.050,0
110,201.630,101.412,117.498,420.540,0
111,204.600,102.465,127.795,434.861,0
112,197.511,95.252,122.843,415.607,0
113,204.168,97.809,131.704,433.682,0
114,197.826,99.847,129.903,427.577,0
115,198.585,101.144,119.887,419.617,0
116,203.400,100.585,124.609,428.594,0
117,194.038,102.161,134.764,430.964,0
118,198.414,98.927,116.406,413.747,0
119,200.325,99.886,124.469,424.681,0
120,205.163,99.239,114.500,418.902,0
121,208.938,99.770,122.936,431.645,0
122,202.645,100.050,118.123,420.819,0
123,195.669,102.817,130.425,428.912,0
124,210.177,102.704,119.304,432.186,0
125,216.706,101.947,124.265,442.918,0
126,198.775,96.544,115.700,411.020,0
127,201.848,104.695,118.178,424.722,0
128,198.793,102.492,117.680,418.966,0
129,210.337,105.054,115.928,431.319,0
130,210.670,100.513,111.820,423.004,0
131,209.747,103.653,120.141,433.542,0
132,203.710,102.524,123.770,430.005,0
133,206.043,96.737,120.816,423.597,0
134,200.824,102.884,112.369,416.078,0
135,199.710,107.160,116.423,423.293,0
136,212.912,99.171,110.342,422.426,0
137,203.836,104.678,116.626,425.142,0
138,201.157,98.402,115.345,414.904,0
139,197.241,97.926,124.538,419.706,0
140,195.471,97.234,127.815,420.521,0
141,213.426,105.827,118.176,437.430,0
142,209.167,109.317,117.802,436.287,0
143,209.327,100.109,122.395,431.833,0
144,201.054,103.003,123.814,427.872,0
145,211.647,97.344,114.861,423.854,0
146,203.102,98.508,118.664,420.276,0
