i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,186.217,85.078,74.685,345.981,0
1,174.997,91.238,79.036,345.272,0
2,177.396,87.526,76.210,341.133,0
3,173.970,93.317,73.523,340.811,0
4,175.770,89.002,76.887,341.661,0
5,172.216,87.994,73.309,333.520,0
6,174.199,89.026,77.158,340.383,0
7,183.768,84.106,76.001,343.876,0
8,176.759,90.354,76.231,343.345,0
9,179.684,95.629,71.792,347.106,0
10,182.061,89.741,77.334,349.136,0
11,176.055,87.531,78.388,341.975,0
12,178.062,84.926,79.338,342.326,0
13,174.077,90.149,77.059,341.285,0
14,195.652,89.667,79.721,365.042,0
15,179.379,88.232,80.912,348.525,0
16,183.161,89.071,81.973,354.207,0
17,183.165,89.149,79.214,351.530,0
18,178.976,105.551,76.458,360.986,0
19,183.780,90.840,78.689,353.310,0
20,182.018,90.036,78.025,350.080,0
21,181.760,84.756,79.042,345.559,0
22,188.328,90.763,77.616,356.708,0
23,177.226,95.355,78.028,350.610,0
24,188.865,91.866,79.524,360.257,0
25,181.485,88.854,77.563,347.903,0
26,178.572,92.657,83.671,354.901,0
27,179.691,88.218,72.280,340.190,0
28,171.477,89.728,77.628,338.834,0
29,172.676,89.934,71.245,333.856,0
30,182.956,91.004,73.391,347.352,0
31,172.434,90.176,78.645,341.256,0
32,173.718,90.882,83.583,348.185,0
33,186.084,91.881,80.227,358.193,0
34,196.854,85.257,72.250,354.362,0
35,177.157,95.097,81.709,353.965,0
36,176.633,87.932,72.890,337.456,0
37,175.047,90.232,76.639,341.920,0
38,197.624,87.366,75.582,360.574,0
39,202.323,88.246,81.938,372.508,0
40,181.637,92.585,79.499,353.722,0
41,192.326,92.238,82.137,366.702,0
42,184.427,89.110,78.660,352.198,0
43,182.973,94.949,80.276,358.199,0
44,176.295,96.398,79.020,351.715,0
45,185.012,88.993,80.764,354.770,0
46,218.584,89.932,78.830,387.347,0
47,184.230,104.547,78.299,367.077,0
48,181.193,91.449,85.302,357.945,0
49,184.313,88.971,84.708,357.994,0
50,180.941,90.183,72.947,344.072,0
51,175.454,88.744,82.025,346.224,0
52,176.419,89.747,81.629,347.796,0
53,182.020,90.231,72.011,344.263,0
54,178.273,96.480,73.761,348.516,0
55,187.070,85.670,76.233,348.974,0
56,184.588,87.127,76.535,348.252,0
57,174.953,89.423,84.665,349.043,0
58,182.657,85.938,78.573,347.169,0
59,183.925,91.236,80.110,355.273,0
60,187.066,89.525,77.459,354.050,0
61,183.095,87.617,79.608,350.321,0
62,191.059,91.404,81.513,363.977,0
63,181.327,89.555,78.069,348.952,0
64,188.235,90.585,77.305,356.126,0
65,178.287,88.359,75.988,342.635,0
66,194.517,85.526,80.000,360.044,0
67,186.380,86.340,74.210,346.931,0
68,180.493,92.095,74.132,346.721,0
69,178.206,93.391,77.904,349.502,0
70,181.224,97.374,72.666,351.265,0
71,180.346,86.261,74.743,341.351,0
72,175.939,88.127,77.046,341.113,0
73,182.162,87.922,73.039,343.124,0
74,171.627,85.716,70.330,327.673,0
75,172.481,88.679,73.867,335.027,0
76,173.575,89.500,78.309,341.385,0
77,183.269,92.135,78.476,353.881,0
78,172.851,82.865,76.739,332.457,0
79,178.940,88.210,72.052,339.203,0
80,170.941,89.981,76.905,337.828,0
81,171.180,89.455,73.680,334.316,0
82,178.516,84.235,73.143,335.895,0
83,174.171,86.697,74.166,335.035,0
84,201.017,86.277,72.169,359.464,0
85,173.728,108.478,73.324,355.532,0
86,174.553,86.881,78.950,340.385,0
87,182.807,87.626,71.826,342.260,0
88,175.159,92.700,73.412,341.272,0
89,172.639,93.975,76.758,343.373,0
90,196.939,87.620,76.659,361.220,0
91,175.390,88.006,73.780,337.176,0
92,189.602,85.487,77.250,352.341,0
93,178.557,97.255,71.218,347.031,0
94,175.030,93.968,72.178,341.176,0
95,176.340,86.119,81.328,343.787,0
96,179.179,87.592,76.359,343.131,0
97,176.658,85.107,75.048,336.814,0
98,175.108,86.825,74.846,336.780,0
99,181.535,90.917,80.386,352.839,0
100,167.284,88.938,78.145,334.367,0
101,184.234,102.431,77.626,364.291,0
102,181.595,89.528,76.344,347.469,0
103,180.948,86.398,74.569,341.915,0
104,179.675,85.965,78.476,344.117,0
105,170.366,90.930,73.827,335.125,0
106,173.634,91.379,74.433,339.447,0
107,174.193,84.306,68.984,327.485,0
108,172.548,110.586,74.365,357.499,0
109,171.566,89.320,71.058,331.945,0
110,174.884,89.213,74.134,338.231,0
111,193.948,88.333,73.118,355.399,0
112,180.202,94.673,76.167,351.042,0
113,171.401,97.566,74.531,343.499,0
114,195.780,100.494,75.060,371.335,0
115,169.352,94.432,78.084,341.870,0
116,184.075,90.851,72.667,347.594,0
117,165.348,85.651,75.753,326.753,0
118,171.710,89.661,76.615,337.987,0
119,174.831,83.568,73.699,332.099,0
120,181.887,89.251,76.322,347.461,0
121,173.637,84.355,79.996,337.989,0
122,169.666,86.850,72.201,328.718,0
123,170.069,91.140,68.993,330.204,0
124,170.445,84.924,79.622,334.992,0
125,174.992,91.004,80.045,346.042,0
126,175.119,85.666,76.142,336.928,0
127,173.056,95.606,71.273,339.935,0
128,180.921,89.711,75.342,345.974,0
129,174.441,86.013,71.619,332.075,0
130,173.577,87.762,70.202,331.542,0
