i,create_ms,first_exec_ms,destroy_ms,total_ms
0,221.951,102.820,81.257,406.030
1,219.417,108.767,79.095,407.280
2,218.499,102.100,73.695,394.295
3,225.667,102.206,78.546,406.421
4,213.243,100.719,77.407,391.371
5,220.081,103.485,77.424,400.991
6,255.689,104.046,79.174,438.910
7,222.608,98.672,75.732,397.013
8,217.323,103.404,73.824,394.552
9,215.574,103.540,80.617,399.732
10,236.458,108.672,72.957,418.088
11,218.121,101.842,84.414,404.377
12,219.514,100.998,77.518,398.031
13,214.571,124.895,79.677,419.144
14,227.674,103.318,84.130,415.123
15,244.905,100.571,77.059,422.536
16,207.666,106.297,82.482,396.446
17,231.317,103.768,77.951,413.037
18,217.798,104.236,78.002,400.036
19,234.051,100.539,78.345,412.936
20,224.281,100.659,72.324,397.266
21,216.904,102.588,80.271,399.764
22,229.811,106.232,75.134,411.178
23,209.179,103.230,77.377,389.787
24,214.842,100.796,81.779,397.417
25,223.326,104.724,79.934,407.986
26,226.581,102.276,79.463,408.321
27,220.216,98.816,79.774,398.806
28,219.434,97.789,80.012,397.237
29,222.435,104.824,75.737,402.996
30,216.159,106.770,76.808,399.738
31,217.189,116.730,75.005,408.925
32,231.225,100.725,82.913,414.864
33,213.983,103.041,78.364,395.388
34,219.507,119.107,73.010,411.625
35,216.149,103.100,78.150,397.400
36,218.224,128.470,80.252,426.947
37,219.734,100.809,73.342,393.887
38,217.952,106.030,77.289,401.272
39,221.929,119.618,75.060,416.608
40,219.578,113.681,72.802,406.063
41,213.173,102.045,94.350,409.570
42,236.068,118.107,86.267,440.442
43,243.554,105.281,80.932,429.768
44,224.938,104.795,71.492,401.226
45,223.638,104.825,78.997,407.461
46,226.497,125.473,87.379,439.350
47,224.332,100.025,72.825,397.183
48,215.021,102.800,73.655,391.476
49,215.488,100.137,72.402,388.027
50,210.183,102.110,74.668,386.962
51,205.894,106.057,91.838,403.789
52,222.178,98.001,76.091,396.270
53,215.102,106.341,78.394,399.839
54,227.368,103.570,81.974,412.913
55,224.046,101.395,83.706,409.148
56,217.610,100.148,74.588,392.347
57,231.188,104.796,78.729,414.714
58,216.526,106.023,79.452,402.002
59,221.112,101.318,88.516,410.947
60,218.760,103.490,78.957,401.209
61,219.484,104.105,80.824,404.414
62,225.612,125.950,77.292,428.856
63,219.254,128.518,74.311,422.084
64,220.408,114.080,79.802,414.291
65,213.871,106.689,76.583,397.144
66,214.331,133.078,73.563,420.973
67,218.649,98.984,78.241,395.875
68,230.568,98.198,73.783,402.551
69,222.331,98.180,87.174,407.685
70,219.646,102.472,84.209,406.327
71,226.692,111.041,77.576,415.310
72,220.631,96.951,80.751,398.334
73,221.244,101.419,75.383,398.047
74,221.501,111.459,79.280,412.240
75,218.833,101.644,84.591,405.070
76,216.804,101.757,83.531,402.093
77,219.683,108.965,86.225,414.874
78,214.179,107.410,76.190,397.779
79,221.015,105.177,81.556,407.749
80,220.360,103.915,78.851,403.127
81,230.714,105.033,80.865,416.613
82,218.095,102.241,79.503,399.841
83,215.314,101.508,76.324,393.148
84,217.141,97.644,75.822,390.608
85,238.966,105.363,75.752,420.081
86,239.402,102.408,78.114,419.924
